date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,12,1,5,1
2021-06-02,8,2,13,0
2021-06-03,12,0,7,0
2021-06-04,11,0,38,3
2021-06-05,42,3,13,2
2021-06-06,49,5,1,0
2021-06-07,13,3,8,1
2021-06-08,10,3,9,0
2021-06-09,12,0,13,0
2021-06-10,21,0,11,0
2021-06-11,16,0,40,1
2021-06-12,45,1,12,1
2021-06-13,55,2,4,2
2021-06-14,28,4,7,1
2021-06-15,10,2,8,0
2021-06-16,10,1,6,0
2021-06-17,10,1,4,0
2021-06-18,8,0,41,1
2021-06-19,42,0,20,1
2021-06-20,56,0,2,0
2021-06-21,18,0,11,1
2021-06-22,14,1,17,0
2021-06-23,21,1,12,0
2021-06-24,24,0,15,0
2021-06-25,27,0,38,3
2021-06-26,48,3,22,0
2021-06-27,60,3,3,0
2021-06-28,21,1,14,1
2021-06-29,14,2,10,1
2021-06-30,14,1,13,1
2021-07-01,13,2,12,2
2021-07-02,15,4,33,0
2021-07-03,39,0,18,0
2021-07-04,50,0,4,0
2021-07-05,24,0,11,0
2021-07-06,13,0,18,1
2021-07-07,19,1,19,1
2021-07-08,18,2,13,1
2021-07-09,23,0,31,3
2021-07-10,41,3,21,0
2021-07-11,53,2,16,1
2021-07-12,28,1,12,2
2021-07-13,31,2,11,0
2021-07-14,27,2,21,1
2021-07-15,38,3,22,3
2021-07-16,43,3,35,1
2021-07-17,63,3,17,0
2021-07-18,58,2,9,0
2021-07-19,23,1,13,0
2021-07-20,24,1,13,2
2021-07-21,30,2,10,0
2021-07-22,24,2,13,1
2021-07-23,19,2,37,3
2021-07-24,49,3,26,0
2021-07-25,63,2,7,0
2021-07-26,29,1,8,1
2021-07-27,23,0,15,0
2021-07-28,27,0,13,1
2021-07-29,31,0,13,0
2021-07-30,27,0,33,1
2021-07-31,44,1,16,0
2021-08-01,56,1,11,1
2021-08-02,36,1,1,0
2021-08-03,23,1,7,0
2021-08-04,24,1,5,1
2021-08-05,25,2,17,0
2021-08-06,38,2,30,0
2021-08-07,59,1,12,1
2021-08-08,63,2,10,1
2021-08-09,43,1,6,0
2021-08-10,34,1,4,0
2021-08-11,32,1,11,1
2021-08-12,33,2,10,1
2021-08-13,34,3,36,3
2021-08-14,58,5,17,0
2021-08-15,66,4,5,1
2021-08-16,45,3,10,2
2021-08-17,24,4,6,0
2021-08-18,22,3,7,0
2021-08-19,26,3,16,0
2021-08-20,33,2,25,2
2021-08-21,51,4,12,3
2021-08-22,57,6,16,2
2021-08-23,36,3,6,1
2021-08-24,28,3,10,2
2021-08-25,27,3,7,1
2021-08-26,26,3,8,4
2021-08-27,25,5,32,0
2021-08-28,49,2,17,1
2021-08-29,52,2,10,0
2021-08-30,25,0,10,1
2021-08-31,21,1,6,1
2021-09-01,12,2,7,1
2021-09-02,11,2,9,0
2021-09-03,15,1,34,2
2021-09-04,39,2,8,0
2021-09-05,42,1,4,0
2021-09-06,19,0,14,1
2021-09-07,17,1,23,1
2021-09-08,26,2,14,0
2021-09-09,22,1,11,0
2021-09-10,20,0,54,4
2021-09-11,56,3,17,2
2021-09-12,70,5,3,0
2021-09-13,21,2,14,0
2021-09-14,18,0,15,1
2021-09-15,28,1,16,0
2021-09-16,23,0,17,1
2021-09-17,16,1,38,4
2021-09-18,43,5,22,0
2021-09-19,62,5,4,0
2021-09-20,18,2,22,1
2021-09-21,27,2,14,0
2021-09-22,29,0,13,1
2021-09-23,21,0,15,1
2021-09-24,16,0,48,2
2021-09-25,56,2,22,1
2021-09-26,71,3,2,0
2021-09-27,21,0,16,1
2021-09-28,21,1,14,0
2021-09-29,24,1,14,0
2021-09-30,19,0,24,1
2021-10-01,20,0,45,1
2021-10-02,55,1,20,2
2021-10-03,71,3,1,0
2021-10-04,30,0,15,3
2021-10-05,20,3,16,0
2021-10-06,20,2,14,2
2021-10-07,19,0,14,4
2021-10-08,23,2,39,2
2021-10-09,47,3,18,0
2021-10-10,58,2,3,0
2021-10-11,22,0,15,0
2021-10-12,16,0,20,1
2021-10-13,23,1,21,2
2021-10-14,31,3,18,2
2021-10-15,19,1,32,1
2021-10-16,33,1,22,3
2021-10-17,50,4,6,2
2021-10-18,22,1,22,1
2021-10-19,19,1,15,1
2021-10-20,23,2,16,1
2021-10-21,19,2,20,0
2021-10-22,24,0,29,1
2021-10-23,38,1,17,6
2021-10-24,46,7,5,0
2021-10-25,28,2,14,4
2021-10-26,25,4,10,0
2021-10-27,23,2,14,1
2021-10-28,25,2,9,0
2021-10-29,19,2,47,5
2021-10-30,58,5,34,1
2021-10-31,86,5,7,0
2021-11-01,76,4,8,1
2021-11-02,31,1,8,0
2021-11-03,23,1,13,0
2021-11-04,21,1,16,2
2021-11-05,24,2,21,1
2021-11-06,33,1,13,1
2021-11-07,34,2,4,0
2021-11-08,14,0,21,1
2021-11-09,25,1,18,1
2021-11-10,20,1,27,0
2021-11-11,29,1,30,2
2021-11-12,54,3,21,1
