date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,19,1,9,0
2021-06-02,17,1,11,0
2021-06-03,17,0,8,0
2021-06-04,15,0,10,1
2021-06-05,20,1,0,0
2021-06-06,13,1,1,1
2021-06-07,8,2,17,1
2021-06-08,19,1,9,1
2021-06-09,22,1,7,5
2021-06-10,22,6,7,1
2021-06-11,22,7,10,2
2021-06-12,22,4,3,1
2021-06-13,23,5,6,0
2021-06-14,17,3,13,2
2021-06-15,18,2,15,1
2021-06-16,24,2,7,0
2021-06-17,24,0,8,3
2021-06-18,22,2,11,0
2021-06-19,25,2,5,0
2021-06-20,28,2,2,1
2021-06-21,13,2,15,3
2021-06-22,22,3,9,3
2021-06-23,25,5,7,1
2021-06-24,20,4,10,7
2021-06-25,19,6,16,2
2021-06-26,24,5,5,1
2021-06-27,26,5,2,0
2021-06-28,16,2,17,0
2021-06-29,21,2,4,0
2021-06-30,11,1,13,1
2021-07-01,17,2,8,1
2021-07-02,17,2,12,0
2021-07-03,22,1,4,1
2021-07-04,18,2,7,1
2021-07-05,20,2,12,2
2021-07-06,21,3,13,0
2021-07-07,22,1,12,0
2021-07-08,24,1,8,3
2021-07-09,16,2,17,0
2021-07-10,25,0,6,0
2021-07-11,26,0,6,2
2021-07-12,23,2,8,1
2021-07-13,23,2,5,1
2021-07-14,20,3,6,0
2021-07-15,20,2,9,3
2021-07-16,22,3,11,0
2021-07-17,28,3,6,1
2021-07-18,25,4,1,0
2021-07-19,17,4,14,2
2021-07-20,20,3,12,1
2021-07-21,26,3,6,0
2021-07-22,27,2,5,1
2021-07-23,21,2,14,0
2021-07-24,26,2,2,0
2021-07-25,24,2,4,2
2021-07-26,17,4,9,2
2021-07-27,17,6,6,0
2021-07-28,19,4,6,0
2021-07-29,21,4,6,1
2021-07-30,15,4,7,1
2021-07-31,16,3,8,0
2021-08-01,19,3,8,0
2021-08-02,23,3,10,0
2021-08-03,27,2,4,0
2021-08-04,26,2,2,1
2021-08-05,25,2,6,0
2021-08-06,25,2,4,0
2021-08-07,23,2,1,0
2021-08-08,16,1,4,0
2021-08-09,15,1,11,0
2021-08-10,21,1,7,0
2021-08-11,26,1,2,0
2021-08-12,24,1,4,0
2021-08-13,19,0,3,1
2021-08-14,16,1,2,1
2021-08-15,15,2,5,0
2021-08-16,14,2,8,0
2021-08-17,17,1,13,0
2021-08-18,24,0,1,0
2021-08-19,23,0,9,2
2021-08-20,24,2,3,0
2021-08-21,22,2,0,0
2021-08-22,18,1,5,0
2021-08-23,16,1,7,1
2021-08-24,17,2,13,1
2021-08-25,24,2,8,1
2021-08-26,26,2,4,0
2021-08-27,21,1,11,1
2021-08-28,21,2,4,0
2021-08-29,24,2,6,0
2021-08-30,21,1,9,0
2021-08-31,22,0,5,0
2021-09-01,19,0,7,2
2021-09-02,14,1,7,1
2021-09-03,12,1,5,2
2021-09-04,16,2,4,0
2021-09-05,16,2,4,0
2021-09-06,11,1,10,3
2021-09-07,16,3,8,1
2021-09-08,19,2,12,0
2021-09-09,25,0,6,1
2021-09-10,17,1,10,1
2021-09-11,18,2,2,0
2021-09-12,15,2,5,0
2021-09-13,10,0,15,1
2021-09-14,20,1,11,0
2021-09-15,21,1,10,1
2021-09-16,24,0,8,1
2021-09-17,20,1,12,0
2021-09-18,26,0,6,1
2021-09-19,24,1,6,0
2021-09-20,18,1,15,2
2021-09-21,24,2,7,2
2021-09-22,23,3,7,1
2021-09-23,23,3,10,1
2021-09-24,22,2,11,1
2021-09-25,19,2,8,1
2021-09-26,19,3,5,0
2021-09-27,17,1,16,1
2021-09-28,22,1,9,2
2021-09-29,20,2,11,2
2021-09-30,24,1,10,4
2021-10-01,19,2,16,1
2021-10-02,22,1,9,0
2021-10-03,27,1,2,0
2021-10-04,8,0,18,2
2021-10-05,18,2,15,0
2021-10-06,24,0,7,0
2021-10-07,22,0,7,2
2021-10-08,18,2,12,3
2021-10-09,22,4,7,0
2021-10-10,22,2,6,2
2021-10-11,19,2,13,4
2021-10-12,20,4,11,3
2021-10-13,27,6,5,3
2021-10-14,19,6,12,1
2021-10-15,22,3,10,1
2021-10-16,21,2,8,1
2021-10-17,20,3,5,0
2021-10-18,18,0,15,0
2021-10-19,23,0,9,1
2021-10-20,21,1,12,0
2021-10-21,23,1,8,2
2021-10-22,20,2,15,1
2021-10-23,21,3,12,0
2021-10-24,26,3,7,1
2021-10-25,19,3,13,0
2021-10-26,24,1,7,2
2021-10-27,23,2,8,1
2021-10-28,25,2,8,1
2021-10-29,23,2,12,3
2021-10-30,21,4,7,2
2021-10-31,27,4,4,1
2021-11-01,26,5,3,1
2021-11-02,12,3,20,0
2021-11-03,22,3,9,1
2021-11-04,27,4,4,0
2021-11-05,23,2,10,1
2021-11-06,20,2,5,1
2021-11-07,14,3,7,0
2021-11-08,11,1,17,6
2021-11-09,21,4,13,3
2021-11-10,21,5,9,2
2021-11-11,16,3,16,0
2021-11-12,24,2,7,1
2021-11-13,29,2,1,0
2021-11-14,19,2,11,2
2021-11-15,16,2,15,1
2021-11-16,21,1,9,3
2021-11-17,23,2,10,1
2021-11-18,24,2,8,1
2021-11-19,24,2,11,2
2021-11-20,22,3,6,0
2021-11-21,20,2,7,1
2021-11-22,18,1,16,3
2021-11-23,22,4,10,2
2021-11-24,24,5,8,1
2021-11-25,21,6,11,1
2021-11-26,18,3,14,2
2021-11-27,23,3,6,0
2021-11-28,22,1,6,1
2021-11-29,15,1,16,2
2021-11-30,22,1,10,3
2021-12-01,20,3,12,1
2021-12-02,23,3,7,4
2021-12-03,21,5,12,0
2021-12-04,22,1,3,1
2021-12-05,18,1,4,5
2021-12-06,11,6,18,5
2021-12-07,20,10,10,8
2021-12-08,21,8,12,2
2021-12-09,18,7,13,4
2021-12-10,22,5,13,2
2021-12-11,22,4,5,0
2021-12-12,22,3,11,2
2021-12-13,17,4,12,6
2021-12-14,20,10,10,9
2021-12-15,20,14,11,2
2021-12-16,16,7,10,5
2021-12-17,19,6,5,6
2021-12-18,15,6,7,2
2021-12-19,18,8,11,0
2021-12-20,20,5,9,2
2021-12-21,27,6,6,1
2021-12-22,24,6,6,2
2021-12-23,20,3,9,2
2021-12-24,21,4,11,1
