date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,16,0,9,0
2021-06-02,20,0,9,0
2021-06-03,20,0,2,2
2021-06-04,10,2,4,1
2021-06-05,11,3,4,0
2021-06-06,10,3,3,0
2021-06-07,8,2,7,0
2021-06-08,12,0,11,2
2021-06-09,14,1,12,0
2021-06-10,16,0,4,0
2021-06-11,15,0,5,0
2021-06-12,10,0,5,0
2021-06-13,12,0,5,0
2021-06-14,10,0,11,2
2021-06-15,18,1,10,0
2021-06-16,19,1,9,2
2021-06-17,20,1,12,0
2021-06-18,19,1,10,2
2021-06-19,20,3,4,0
2021-06-20,19,3,4,0
2021-06-21,16,3,11,1
2021-06-22,23,3,13,0
2021-06-23,30,2,15,0
2021-06-24,32,2,12,2
2021-06-25,24,4,18,3
2021-06-26,23,4,7,0
2021-06-27,22,3,3,0
2021-06-28,15,1,8,0
2021-06-29,18,1,17,2
2021-06-30,27,2,13,0
2021-07-01,21,0,10,0
2021-07-02,22,0,8,1
2021-07-03,12,1,5,0
2021-07-04,14,1,5,0
2021-07-05,13,1,14,0
2021-07-06,21,1,17,0
2021-07-07,31,0,11,0
2021-07-08,26,0,8,0
2021-07-09,21,0,15,1
2021-07-10,21,1,42,0
2021-07-11,51,1,25,0
2021-07-12,34,0,31,1
2021-07-13,38,1,34,5
2021-07-14,33,3,42,3
2021-07-15,43,3,14,0
2021-07-16,26,2,12,1
2021-07-17,25,3,7,1
2021-07-18,26,3,11,0
2021-07-19,26,2,15,0
2021-07-20,33,1,14,1
2021-07-21,36,2,9,2
2021-07-22,33,4,12,0
2021-07-23,29,1,12,1
2021-07-24,23,1,7,0
2021-07-25,22,1,13,0
2021-07-26,29,1,14,2
2021-07-27,35,1,8,0
2021-07-28,37,1,8,1
2021-07-29,33,1,5,1
2021-07-30,29,2,6,0
2021-07-31,23,2,4,0
2021-08-01,20,1,4,0
2021-08-02,20,1,4,0
2021-08-03,21,1,1,0
2021-08-04,20,1,0,1
2021-08-05,16,1,2,0
2021-08-06,17,1,2,0
2021-08-07,15,1,3,2
2021-08-08,16,2,3,0
2021-08-09,15,2,3,0
2021-08-10,13,1,1,0
2021-08-11,11,1,0,0
2021-08-12,10,1,0,0
2021-08-13,7,1,0,0
2021-08-14,7,1,0,0
2021-08-15,6,0,4,0
2021-08-16,8,0,0,0
2021-08-17,8,0,0,0
2021-08-18,6,0,1,0
2021-08-19,7,0,0,2
2021-08-20,6,1,0,0
2021-08-21,5,0,7,2
2021-08-22,10,2,5,0
2021-08-23,10,2,23,3
2021-08-24,28,5,6,1
2021-08-25,27,3,11,1
2021-08-26,27,4,5,0
2021-08-27,21,1,8,0
2021-08-28,8,0,2,0
2021-08-29,8,0,3,0
2021-08-30,6,0,16,1
2021-08-31,17,1,8,0
2021-09-01,16,1,7,1
2021-09-02,15,1,7,0
2021-09-03,16,1,6,2
2021-09-04,11,3,7,0
2021-09-05,15,3,3,0
2021-09-06,10,2,9,0
2021-09-07,17,1,17,2
2021-09-08,29,2,17,0
2021-09-09,33,1,11,0
2021-09-10,28,1,14,0
2021-09-11,24,0,1,0
2021-09-12,19,0,5,1
2021-09-13,17,1,20,2
2021-09-14,26,3,22,1
2021-09-15,38,4,7,1
2021-09-16,26,4,12,0
2021-09-17,15,2,11,2
2021-09-18,16,2,4,0
2021-09-19,18,2,4,1
2021-09-20,8,1,16,0
2021-09-21,18,1,19,1
2021-09-22,23,2,19,1
2021-09-23,26,2,12,1
2021-09-24,17,2,7,1
2021-09-25,14,2,6,0
2021-09-26,11,2,5,0
2021-09-27,9,1,12,0
2021-09-28,12,1,21,1
2021-09-29,28,2,16,0
2021-09-30,19,0,8,1
2021-10-01,15,1,12,0
2021-10-02,17,1,2,0
2021-10-03,18,1,2,0
2021-10-04,8,1,17,2
2021-10-05,18,2,15,1
2021-10-06,24,2,12,1
2021-10-07,23,2,15,0
2021-10-08,21,1,6,0
2021-10-09,11,0,1,0
2021-10-10,9,0,3,0
2021-10-11,7,0,16,0
2021-10-12,20,0,30,1
2021-10-13,37,1,12,1
2021-10-14,31,1,14,0
2021-10-15,24,0,16,1
2021-10-16,21,1,4,0
2021-10-17,22,1,0,0
2021-10-18,8,1,24,1
2021-10-19,25,1,28,2
2021-10-20,37,2,16,1
2021-10-21,33,2,12,0
2021-10-22,21,1,9,0
2021-10-23,21,1,0,0
2021-10-24,20,1,3,1
2021-10-25,10,1,13,3
2021-10-26,18,2,21,3
2021-10-27,26,2,6,1
2021-10-28,22,2,7,0
2021-10-29,20,1,4,1
2021-10-30,18,2,4,0
2021-10-31,18,2,2,2
2021-11-01,14,4,5,0
2021-11-02,18,2,21,2
2021-11-03,30,4,20,2
2021-11-04,36,4,9,0
2021-11-05,30,2,10,1
2021-11-06,16,1,5,1
2021-11-07,16,1,7,1
2021-11-08,15,1,18,3
2021-11-09,27,4,13,0
2021-11-10,27,1,12,0
2021-11-11,17,0,8,2
2021-11-12,19,2,7,2
2021-11-13,25,2,5,0
2021-11-14,26,2,6,0
2021-11-15,16,0,15,2
2021-11-16,25,0,22,2
2021-11-17,31,2,26,2
2021-11-18,46,2,19,0
2021-11-19,38,2,12,0
2021-11-20,25,1,4,1
2021-11-21,21,2,2,0
2021-11-22,12,1,24,2
2021-11-23,30,3,18,1
2021-11-24,36,2,19,0
2021-11-25,35,0,25,1
2021-11-26,39,0,10,1
2021-11-27,29,1,13,1
