date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,31,2,6,1
2021-06-02,26,2,4,1
2021-06-03,28,2,11,1
2021-06-04,29,2,18,0
2021-06-05,42,2,7,1
2021-06-06,40,2,2,1
2021-06-07,32,3,10,0
2021-06-08,30,3,15,2
2021-06-09,33,3,8,1
2021-06-10,36,3,8,0
2021-06-11,36,3,28,1
2021-06-12,53,3,10,2
2021-06-13,58,4,5,2
2021-06-14,39,5,12,0
2021-06-15,32,5,11,0
2021-06-16,31,4,17,0
2021-06-17,33,4,13,0
2021-06-18,39,3,31,1
2021-06-19,64,3,17,1
2021-06-20,73,2,7,1
2021-06-21,50,2,8,0
2021-06-22,44,2,6,0
2021-06-23,33,2,11,0
2021-06-24,34,2,18,1
2021-06-25,37,2,35,2
2021-06-26,64,4,13,2
2021-06-27,66,4,12,0
2021-06-28,53,3,13,2
2021-06-29,49,2,7,1
2021-06-30,40,3,13,1
2021-07-01,31,2,15,3
2021-07-02,38,5,27,1
2021-07-03,55,4,12,3
2021-07-04,59,7,10,0
2021-07-05,51,5,18,2
2021-07-06,52,5,11,3
2021-07-07,55,7,12,1
2021-07-08,52,5,12,1
2021-07-09,51,5,23,0
2021-07-10,59,4,20,0
2021-07-11,68,4,7,1
2021-07-12,49,3,11,4
2021-07-13,44,6,18,1
2021-07-14,52,6,12,0
2021-07-15,57,6,15,2
2021-07-16,58,5,12,0
2021-07-17,62,4,10,1
2021-07-18,64,5,12,0
2021-07-19,52,5,20,2
2021-07-20,56,3,14,0
2021-07-21,57,3,13,0
2021-07-22,60,3,15,0
2021-07-23,58,2,10,2
2021-07-24,51,3,16,0
2021-07-25,57,3,12,0
2021-07-26,55,3,14,0
2021-07-27,58,2,8,1
2021-07-28,54,2,5,0
2021-07-29,52,2,11,2
2021-07-30,55,4,6,0
2021-07-31,46,2,5,1
2021-08-01,43,3,6,0
2021-08-02,41,3,16,2
2021-08-03,50,5,8,1
2021-08-04,52,6,13,0
2021-08-05,63,6,11,1
2021-08-06,63,6,13,0
2021-08-07,63,6,6,1
2021-08-08,60,6,13,1
2021-08-09,59,7,16,1
2021-08-10,60,6,17,0
2021-08-11,66,4,6,1
2021-08-12,63,5,10,0
2021-08-13,56,5,8,2
2021-08-14,53,4,5,0
2021-08-15,53,4,10,3
2021-08-16,51,5,13,0
2021-08-17,56,4,11,1
2021-08-18,55,4,10,1
2021-08-19,54,5,7,1
2021-08-20,53,5,12,1
2021-08-21,49,5,10,1
2021-08-22,50,6,6,3
2021-08-23,36,7,10,0
2021-08-24,37,7,8,0
2021-08-25,41,5,6,0
2021-08-26,37,4,5,0
2021-08-27,33,4,14,0
2021-08-28,38,2,8,0
2021-08-29,41,2,7,0
2021-08-30,29,2,8,4
2021-08-31,31,6,5,2
2021-09-01,28,7,7,0
2021-09-02,29,4,6,0
2021-09-03,31,4,13,0
2021-09-04,34,3,5,1
2021-09-05,33,4,4,1
2021-09-06,27,4,16,2
2021-09-07,37,6,10,2
2021-09-08,41,7,8,1
2021-09-09,38,8,12,0
2021-09-10,38,6,21,1
2021-09-11,51,5,12,1
2021-09-12,59,5,7,0
2021-09-13,49,4,17,1
2021-09-14,49,5,9,2
2021-09-15,46,6,8,0
2021-09-16,45,6,14,2
2021-09-17,48,8,14,1
2021-09-18,45,7,11,0
2021-09-19,50,7,4,0
2021-09-20,36,4,7,1
2021-09-21,33,4,9,0
2021-09-22,34,4,11,1
2021-09-23,37,5,18,0
2021-09-24,42,3,22,0
2021-09-25,52,2,13,0
2021-09-26,58,2,8,0
2021-09-27,47,2,12,1
2021-09-28,39,3,12,0
2021-09-29,41,3,12,1
2021-09-30,45,3,16,2
2021-10-01,47,4,22,2
2021-10-02,57,4,10,0
2021-10-03,63,4,3,2
2021-10-04,38,5,12,2
2021-10-05,43,6,12,1
2021-10-06,45,7,8,2
2021-10-07,39,7,23,2
2021-10-08,50,7,18,1
2021-10-09,61,6,14,0
2021-10-10,67,5,3,0
2021-10-11,45,4,18,0
2021-10-12,50,2,15,0
2021-10-13,55,2,5,1
2021-10-14,44,3,16,3
2021-10-15,44,3,13,1
2021-10-16,44,4,9,1
2021-10-17,46,5,8,1
2021-10-18,43,5,18,1
2021-10-19,43,5,13,1
2021-10-20,51,6,17,0
2021-10-21,58,5,14,0
2021-10-22,56,4,23,0
2021-10-23,66,1,27,3
2021-10-24,85,3,20,1
2021-10-25,81,2,20,1
2021-10-26,86,3,18,1
2021-10-27,93,3,16,3
2021-10-28,92,5,30,1
2021-10-29,100,2,31,1
2021-10-30,109,2,13,0
2021-10-31,106,2,9,1
2021-11-01,103,3,10,0
2021-11-02,77,2,21,0
2021-11-03,73,1,15,0
2021-11-04,71,0,18,4
2021-11-05,75,4,27,1
2021-11-06,86,5,6,0
2021-11-07,73,5,11,0
2021-11-08,47,3,13,0
2021-11-09,40,3,13,1
2021-11-10,45,3,28,0
2021-11-11,63,3,34,1
2021-11-12,93,3,13,1
2021-11-13,93,3,10,0
2021-11-14,88,2,2,0
