date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-12-28,21,6,10,0
2021-12-29,27,4,0,1
2021-12-30,22,2,3,2
2021-12-31,17,4,7,0
2022-01-01,20,2,1,0
2022-01-02,20,2,1,0
2022-01-03,10,0,5,0
2022-01-04,12,0,5,1
2022-01-05,10,0,5,0
2022-01-06,7,0,5,0
2022-01-07,7,0,6,1
2022-01-08,11,0,9,1
2022-01-09,17,1,3,0
2022-01-10,5,0,5,0
2022-01-11,6,0,5,1
2022-01-12,7,1,10,0
2022-01-13,15,1,11,1
2022-01-14,17,1,17,1
2022-01-15,24,1,3,0
2022-01-16,20,1,2,0
2022-01-17,11,0,6,0
2022-01-18,15,0,7,0
2022-01-19,14,0,6,0
2022-01-20,15,0,10,0
2022-01-21,14,0,14,1
2022-01-22,21,1,8,1
2022-01-23,27,2,2,1
2022-01-24,10,3,1,7
2022-01-25,8,4,14,0
2022-01-26,18,4,7,0
2022-01-27,15,1,12,3
2022-01-28,18,1,12,2
2022-01-29,17,1,6,2
2022-01-30,19,1,2,0
2022-01-31,8,1,10,0
2022-02-01,15,0,9,3
2022-02-02,15,2,12,1
2022-02-03,21,3,5,2
2022-02-04,16,3,11,1
2022-02-05,17,3,10,0
2022-02-06,21,3,3,0
2022-02-07,10,1,18,0
2022-02-08,19,1,16,0
2022-02-09,25,1,9,0
2022-02-10,18,1,5,2
2022-02-11,15,3,10,1
2022-02-12,17,2,20,0
2022-02-13,32,2,12,0
2022-02-14,26,1,18,1
2022-02-15,32,2,14,1
2022-02-16,33,3,16,1
2022-02-17,36,3,6,1
2022-02-18,23,2,4,11
2022-02-19,22,12,7,2
2022-02-20,25,12,2,0
2022-02-21,16,4,6,3
2022-02-22,20,5,13,0
2022-02-23,28,2,19,0
2022-02-24,41,1,11,0
2022-02-25,34,1,18,1
2022-02-26,36,2,12,1
2022-02-27,40,3,5,0
2022-02-28,24,1,16,0
2022-03-01,25,0,16,1
2022-03-02,30,0,17,2
2022-03-03,34,1,9,0
2022-03-04,21,0,13,2
2022-03-05,22,2,7,1
2022-03-06,26,3,6,5
2022-03-07,20,5,12,3
2022-03-08,25,5,11,3
2022-03-09,29,6,13,0
2022-03-10,32,5,13,1
2022-03-11,29,3,24,3
2022-03-12,31,5,7,0
2022-03-13,28,5,5,0
2022-03-14,16,2,31,0
2022-03-15,35,2,13,0
2022-03-16,31,2,20,1
2022-03-17,33,2,28,3
2022-03-18,28,3,59,3
2022-03-19,57,4,57,3
2022-03-20,64,2,13,1
2022-03-21,18,1,17,1
2022-03-22,22,2,19,2
2022-03-23,26,3,22,0
2022-03-24,29,1,22,0
2022-03-25,29,1,24,2
2022-03-26,32,3,13,1
2022-03-27,37,4,3,0
2022-03-28,18,1,17,0
2022-03-29,24,0,22,1
2022-03-30,39,0,10,1
2022-03-31,34,0,9,2
2022-04-01,26,1,17,0
2022-04-02,29,1,10,0
2022-04-03,33,1,6,0
2022-04-04,18,1,20,1
2022-04-05,27,2,13,4
2022-04-06,26,5,21,1
2022-04-07,32,3,22,1
2022-04-08,28,1,17,0
2022-04-09,30,1,10,0
2022-04-10,35,1,5,1
2022-04-11,20,2,19,1
2022-04-12,24,3,16,2
2022-04-13,31,4,17,0
2022-04-14,29,2,18,0
2022-04-15,25,1,18,2
2022-04-16,34,3,11,0
2022-04-17,41,3,6,1
2022-04-18,42,4,12,0
2022-04-19,39,3,21,2
2022-04-20,48,5,26,3
2022-04-21,59,8,16,0
2022-04-22,44,2,13,0
2022-04-23,42,2,5,0
2022-04-24,34,2,9,0
2022-04-25,24,1,24,1
2022-04-26,37,2,25,1
2022-04-27,51,1,7,0
2022-04-28,42,0,14,0
2022-04-29,35,0,18,0
2022-04-30,42,0,5,0
2022-05-01,36,0,4,0
2022-05-02,21,0,23,0
2022-05-03,33,0,10,2
2022-05-04,23,2,12,0
