date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,16,1,9,0
2021-06-02,18,1,10,0
2021-06-03,21,1,13,3
2021-06-04,22,1,38,3
2021-06-05,50,4,18,0
2021-06-06,59,3,4,3
2021-06-07,20,5,14,0
2021-06-08,16,5,13,3
2021-06-09,20,4,20,3
2021-06-10,28,5,20,0
2021-06-11,33,3,36,2
2021-06-12,55,3,24,2
2021-06-13,68,4,7,0
2021-06-14,29,1,18,0
2021-06-15,26,0,12,0
2021-06-16,32,0,19,0
2021-06-17,34,0,23,4
2021-06-18,36,3,40,5
2021-06-19,57,6,18,3
2021-06-20,59,5,10,4
2021-06-21,33,4,27,2
2021-06-22,37,3,19,1
2021-06-23,41,4,26,1
2021-06-24,47,5,28,1
2021-06-25,50,6,38,5
2021-06-26,63,7,17,4
2021-06-27,62,10,7,1
2021-06-28,27,4,26,0
2021-06-29,32,2,11,2
2021-06-30,27,1,7,1
2021-07-01,11,1,20,2
2021-07-02,20,3,41,2
2021-07-03,48,4,22,3
2021-07-04,63,6,11,0
2021-07-05,31,3,24,0
2021-07-06,32,1,29,2
2021-07-07,41,1,16,0
2021-07-08,32,1,17,3
2021-07-09,26,2,28,5
2021-07-10,41,6,28,2
2021-07-11,58,7,18,0
2021-07-12,44,4,20,1
2021-07-13,36,3,18,4
2021-07-14,36,7,11,0
2021-07-15,37,6,20,1
2021-07-16,41,7,31,0
2021-07-17,53,6,16,3
2021-07-18,60,8,10,1
2021-07-19,26,5,25,0
2021-07-20,36,2,28,2
2021-07-21,44,2,24,0
2021-07-22,48,1,14,2
2021-07-23,39,1,24,4
2021-07-24,42,5,19,1
2021-07-25,47,6,11,1
2021-07-26,35,3,19,2
2021-07-27,37,2,30,0
2021-07-28,53,2,11,0
2021-07-29,51,1,15,0
2021-07-30,40,1,37,3
2021-07-31,55,4,36,3
2021-08-01,64,5,19,1
2021-08-02,43,2,22,1
2021-08-03,42,3,15,2
2021-08-04,50,5,17,0
2021-08-05,50,5,18,1
2021-08-06,48,4,25,2
2021-08-07,47,5,29,1
2021-08-08,57,3,22,1
2021-08-09,52,3,15,2
2021-08-10,46,3,22,1
2021-08-11,50,3,11,0
2021-08-12,49,3,14,1
2021-08-13,48,4,23,3
2021-08-14,55,7,20,2
2021-08-15,54,7,76,2
2021-08-16,74,9,24,4
2021-08-17,46,3,20,0
2021-08-18,53,3,15,0
2021-08-19,50,2,21,1
2021-08-20,50,1,34,1
2021-08-21,58,1,9,0
2021-08-22,54,1,14,3
2021-08-23,38,2,17,1
2021-08-24,38,3,29,1
2021-08-25,49,1,16,5
2021-08-26,45,6,17,3
2021-08-27,41,5,30,2
2021-08-28,52,5,55,2
2021-08-29,79,6,15,1
2021-08-30,30,3,20,1
2021-08-31,32,3,11,0
2021-09-01,22,2,14,2
2021-09-02,24,0,17,0
2021-09-03,31,0,37,3
2021-09-04,49,3,21,2
2021-09-05,58,4,13,2
2021-09-06,30,3,36,1
2021-09-07,50,1,15,2
2021-09-08,45,1,23,4
2021-09-09,52,2,23,1
2021-09-10,41,1,50,1
2021-09-11,64,1,23,3
2021-09-12,75,4,10,2
2021-09-13,35,2,31,1
2021-09-14,41,1,33,1
2021-09-15,54,2,32,2
2021-09-16,58,2,22,4
2021-09-17,48,4,56,1
2021-09-18,64,1,39,1
2021-09-19,87,2,33,3
2021-09-20,36,4,40,1
2021-09-21,51,1,37,3
2021-09-22,53,2,26,2
2021-09-23,55,3,24,5
2021-09-24,45,5,44,2
2021-09-25,61,6,19,0
2021-09-26,65,5,24,0
2021-09-27,35,0,33,4
2021-09-28,39,3,30,0
2021-09-29,50,1,35,1
2021-09-30,57,2,23,2
2021-10-01,49,3,53,0
2021-10-02,68,0,16,1
2021-10-03,69,1,14,0
