date,turnover,discount,booking_fees,lead_time_hours
2021-09-07,11170.4,392.08,272.0,158.03991658324964
2021-09-08,10009.2,350.33,230.5,128.58931203703676
2021-09-09,10889.15,419.51,210.5,149.41921645702283
2021-09-10,20461.9,1452.98,396.7,140.30604415068223
2021-09-11,7351.8,360.82,160.0,138.57422444444413
2021-09-12,7457.1,390.92,77.0,162.72574074074035
2021-09-13,15249.9,575.71,292.2,179.70109870416294
2021-09-14,13198.6,500.5,334.5,163.13611111111086
2021-09-15,10852.55,390.93,279.2,156.27717606837578
2021-09-16,12352.5,464.22,220.0,145.41737832874165
2021-09-17,22784.1,1308.19,443.0,147.8805931238613
2021-09-18,11003.55,665.9,211.5,133.13213704726795
2021-09-19,7073.1,420.81,92.0,146.85679620034514
2021-09-20,18720.55,770.98,325.2,144.51720964791926
2021-09-21,15102.8,712.02,291.5,146.2071187739461
2021-09-22,14471.1,437.54,347.0,141.95100412912876
2021-09-23,15196.8,464.96000000000004,311.0,119.11424949031567
2021-09-24,25324.55,1211.14,452.5,132.5620924132362
2021-09-25,11509.2,473.36,232.2,147.22488179668997
2021-09-26,6137.6,280.07,105.0,151.2773646272853
2021-09-27,16578.7,573.95,365.5,157.62308677370007
2021-09-28,13609.9,433.5,307.7,163.7721406469758
2021-09-29,13592.6,610.85,317.0,152.48101638176612
2021-09-30,12401.3,513.72,269.2,167.98833699794756
2021-10-01,22988.9,1809.64,532.5,150.39578189300386
2021-10-02,9336.25,544.34,222.5,144.4095354569584
2021-10-03,6105.5,240.25,131.5,205.1496942446041
2021-10-04,15135.9,497.49,312.0,143.65542027843418
2021-10-05,13490.5,354.68,276.0,130.82232666086418
2021-10-06,12302.5,218.89000000000001,339.5,138.94562865497048
2021-10-07,13785.75,505.11,336.0,170.35981481481448
2021-10-08,22086.65,1005.91,403.5,155.93131285343088
2021-10-09,8777.3,315.13,222.7,137.33377835447874
2021-10-10,6680.0,167.29,79.2,193.88987291212754
2021-10-11,16219.85,484.28,305.1,159.84119911991175
2021-10-12,14387.0,259.21,401.0,155.1159117432528
2021-10-13,13767.6,165.09,314.0,139.28024056352976
2021-10-14,14588.25,347.25,336.0,160.0886986646508
