date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,21,8,5,8,10,4,0,2,29,0,0,0
2021-06-02,21,5,4,7,10,4,0,1,26,0,0,0
2021-06-03,26,4,2,8,15,5,0,0,30,0,0,0
2021-06-04,22,3,2,8,11,3,0,1,25,0,0,0
2021-06-05,59,5,7,30,11,9,1,6,64,0,0,0
2021-06-06,58,6,13,27,10,7,1,6,64,0,0,0
2021-06-07,29,4,9,11,9,3,0,1,32,1,0,0
2021-06-08,24,8,8,12,6,5,0,1,32,0,0,0
2021-06-09,30,8,11,9,7,9,0,2,37,1,0,0
2021-06-10,24,8,7,9,8,7,0,1,32,0,0,0
2021-06-11,22,7,7,6,10,6,0,0,29,0,0,0
2021-06-12,49,5,10,17,15,9,0,3,54,0,0,0
2021-06-13,60,5,16,18,15,11,1,4,65,0,0,0
2021-06-14,40,5,11,9,13,10,1,1,45,0,0,0
2021-06-15,40,5,15,6,14,8,2,0,45,0,0,0
2021-06-16,35,7,15,7,15,5,0,0,41,1,0,0
2021-06-17,34,9,16,7,14,5,0,1,43,0,0,0
2021-06-18,34,10,17,6,14,6,0,1,44,0,0,0
2021-06-19,49,13,14,17,16,7,0,8,62,0,0,0
2021-06-20,54,12,13,16,19,7,3,8,65,1,0,0
2021-06-21,34,10,15,7,11,6,1,4,43,1,0,0
2021-06-22,18,13,14,4,8,5,0,0,30,1,0,0
2021-06-23,12,16,12,5,6,5,0,0,28,0,0,0
2021-06-24,23,12,14,9,6,3,2,1,35,0,0,0
2021-06-25,18,9,10,7,8,1,0,1,27,0,0,0
2021-06-26,37,9,7,18,11,4,0,6,46,0,0,0
2021-06-27,44,10,10,19,12,6,1,6,54,0,0,0
2021-06-28,23,9,6,7,9,5,2,3,31,1,0,0
2021-06-29,21,9,3,7,10,5,3,2,30,0,0,0
2021-06-30,28,5,5,5,11,7,3,2,33,0,0,0
2021-07-01,25,4,5,5,9,5,3,2,29,0,0,0
2021-07-02,30,4,5,10,10,6,2,1,32,2,0,0
2021-07-03,40,4,8,14,9,9,1,3,44,0,0,0
2021-07-04,51,3,14,13,12,9,3,3,54,0,0,0
2021-07-05,30,4,10,5,10,6,1,2,34,0,0,0
2021-07-06,30,7,12,5,13,6,1,0,37,0,0,0
2021-07-07,34,8,15,6,10,10,0,1,41,1,0,0
