date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,13,3,5,4,4,1,2,0,16,0,0,0
2021-06-02,11,7,8,3,4,1,2,0,18,0,0,0
2021-06-03,13,8,10,2,4,2,2,1,21,0,0,0
2021-06-04,16,6,8,2,5,2,4,1,22,0,0,0
2021-06-05,42,8,9,15,8,7,4,7,49,1,0,0
2021-06-06,51,8,11,18,12,6,5,7,56,3,0,0
2021-06-07,16,4,4,3,8,1,3,1,20,0,0,0
2021-06-08,13,3,4,2,2,6,2,0,16,0,0,0
2021-06-09,17,3,7,3,1,7,2,0,20,0,0,0
2021-06-10,21,7,9,7,1,6,4,1,28,0,0,0
2021-06-11,29,4,9,7,2,8,5,2,33,0,0,0
2021-06-12,43,12,13,15,6,14,3,4,55,0,0,0
2021-06-13,54,14,19,16,9,14,6,4,65,3,0,0
2021-06-14,25,4,9,4,5,4,5,2,28,1,0,0
2021-06-15,25,1,8,4,3,6,3,2,26,0,0,0
2021-06-16,28,4,10,6,2,7,5,2,32,0,0,0
2021-06-17,29,5,11,3,8,5,5,2,33,1,0,0
2021-06-18,27,9,12,6,9,0,6,3,35,1,0,0
2021-06-19,44,13,10,14,8,7,11,7,56,1,0,0
2021-06-20,45,14,17,14,4,7,9,8,58,1,0,0
2021-06-21,21,12,9,10,2,4,4,4,31,2,0,0
2021-06-22,24,13,9,6,7,4,8,3,35,2,0,0
2021-06-23,26,15,10,6,5,9,8,3,41,0,0,0
2021-06-24,32,15,16,6,6,6,10,3,47,0,0,0
2021-06-25,37,13,15,11,8,5,10,1,48,2,0,0
2021-06-26,50,13,15,24,6,8,6,4,62,1,0,0
2021-06-27,48,14,13,27,7,4,6,5,60,2,0,0
2021-06-28,21,6,7,9,3,5,2,1,26,1,0,0
2021-06-29,25,7,6,7,4,8,7,0,32,0,0,0
2021-06-30,23,4,6,5,3,6,7,0,27,0,0,0
2021-07-01,11,0,4,1,0,2,4,0,11,0,0,0
2021-07-02,20,0,6,4,2,4,2,2,18,2,0,0
2021-07-03,48,0,5,11,4,13,7,8,47,1,0,0
2021-07-04,63,0,10,14,6,14,10,9,59,4,0,0
2021-07-05,31,0,5,6,4,9,7,0,31,0,0,0
2021-07-06,32,0,9,4,4,8,7,0,30,2,0,0
2021-07-07,41,0,11,7,2,10,10,1,41,0,0,0
2021-07-08,32,0,8,3,3,7,9,2,30,2,0,0
2021-07-09,26,0,6,3,3,4,8,2,25,1,0,0
2021-07-10,41,0,6,10,3,7,9,6,41,0,0,0
2021-07-11,58,0,17,10,4,8,13,6,56,2,0,0
2021-07-12,44,0,19,7,2,6,8,2,43,1,0,0
2021-07-13,36,0,16,4,3,6,4,3,34,2,0,0
2021-07-14,36,0,9,4,7,6,8,2,34,2,0,0
2021-07-15,37,0,9,4,9,5,9,1,36,1,0,0
2021-07-16,41,0,10,3,9,5,13,1,40,1,0,0
2021-07-17,53,0,12,15,8,8,6,4,53,0,0,0
2021-07-18,60,0,10,15,7,11,10,7,59,1,0,0
2021-07-19,26,0,2,5,2,7,4,6,24,2,0,0
2021-07-20,36,0,7,3,4,3,15,4,32,4,0,0
2021-07-21,44,0,15,6,4,4,12,3,44,0,0,0
2021-07-22,48,0,17,6,7,4,12,2,48,0,0,0
2021-07-23,39,0,13,7,5,6,6,2,38,1,0,0
2021-07-24,42,0,9,6,5,10,8,4,42,0,0,0
2021-07-25,47,0,9,6,9,10,11,2,44,3,0,0
2021-07-26,35,0,7,5,5,7,11,0,35,0,0,0
2021-07-27,37,0,9,4,9,3,12,0,36,1,0,0
2021-07-28,53,0,11,8,12,6,14,2,53,0,0,0
2021-07-29,51,0,12,4,11,6,16,2,51,0,0,0
2021-07-30,40,0,11,2,8,4,11,4,40,0,0,0
2021-07-31,54,1,7,9,10,7,11,11,52,3,0,0
2021-08-01,60,4,8,12,9,9,11,15,53,10,1,0
2021-08-02,40,3,10,5,6,4,9,9,42,1,0,0
2021-08-03,41,1,13,2,9,4,8,6,42,0,0,0
2021-08-04,50,0,13,3,12,5,13,4,50,0,0,0
2021-08-05,49,1,15,4,11,6,12,2,49,1,0,0
2021-08-06,48,0,13,4,11,6,12,2,48,0,0,0
2021-08-07,47,0,11,7,7,10,8,4,46,1,0,0
2021-08-08,55,2,16,7,7,10,13,4,57,0,0,0
2021-08-09,49,3,17,4,5,12,12,2,51,1,0,0
2021-08-10,44,2,18,3,6,9,9,1,46,0,0,0
2021-08-11,46,4,20,3,4,9,10,4,50,0,0,0
2021-08-12,44,5,20,3,5,6,10,5,49,0,0,0
2021-08-13,43,5,16,3,5,6,11,7,48,0,0,0
2021-08-14,50,5,15,9,6,6,10,9,53,2,0,0
2021-08-15,51,3,11,9,8,5,10,11,52,1,0,1
2021-08-16,70,4,7,23,10,7,9,18,39,34,1,0
2021-08-17,45,1,13,2,10,2,11,8,46,0,0,0
2021-08-18,51,2,17,3,10,2,13,8,53,0,0,0
2021-08-19,47,3,13,4,9,4,12,8,49,1,0,0
2021-08-20,49,1,16,6,8,2,10,8,49,1,0,0
2021-08-21,55,3,9,12,10,9,11,7,57,1,0,0
2021-08-22,50,4,11,12,8,8,9,6,54,0,0,0
2021-08-23,34,4,10,6,4,5,11,2,37,1,0,0
2021-08-24,35,3,13,5,4,5,11,0,38,0,0,0
2021-08-25,47,2,16,4,6,6,16,1,48,1,0,0
2021-08-26,44,1,15,3,6,4,15,2,45,0,0,0
2021-08-27,40,1,13,2,6,3,15,2,41,0,0,0
2021-08-28,49,3,12,5,7,9,11,8,52,0,0,0
2021-08-29,73,6,11,16,11,12,11,18,51,23,5,0
2021-08-30,29,1,9,3,3,5,6,4,30,0,0,0
2021-08-31,31,1,5,2,4,5,10,6,32,0,0,0
2021-09-01,20,2,4,3,2,5,3,5,22,0,0,0
2021-09-02,22,2,8,2,3,3,4,4,24,0,0,0
