date,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package
2021-06-01,8,2,15,4,0,0
2021-06-02,7,0,14,5,0,0
2021-06-03,10,0,15,5,0,0
2021-06-04,4,0,17,4,0,0
2021-06-05,9,34,17,4,0,0
2021-06-06,8,41,11,4,0,0
2021-06-07,1,13,15,4,0,0
2021-06-08,8,4,16,4,0,0
2021-06-09,18,0,16,4,0,0
2021-06-10,12,0,16,4,0,0
2021-06-11,6,0,18,5,0,0
2021-06-12,7,22,20,5,0,0
2021-06-13,4,35,21,5,0,0
2021-06-14,2,15,22,6,0,0
2021-06-15,10,2,26,7,0,0
2021-06-16,11,0,24,7,0,0
2021-06-17,14,0,22,7,0,0
2021-06-18,13,0,24,7,0,0
2021-06-19,8,26,21,7,0,0
2021-06-20,5,37,18,6,0,0
2021-06-21,2,19,18,5,0,0
2021-06-22,8,3,16,4,0,0
2021-06-23,10,0,13,5,0,0
2021-06-24,13,0,17,5,0,0
2021-06-25,9,0,14,4,0,0
2021-06-26,4,21,17,4,0,0
2021-06-27,3,31,16,4,0,0
2021-06-28,4,10,15,3,0,0
2021-06-29,8,0,19,3,0,0
2021-06-30,12,0,18,3,0,0
2021-07-01,10,0,16,3,0,0
2021-07-02,10,0,21,3,0,0
2021-07-03,8,14,18,4,0,0
2021-07-04,7,26,18,3,0,0
2021-07-05,2,16,14,2,0,0
2021-07-06,14,5,16,2,0,0
2021-07-07,22,0,18,2,0,0
2021-07-08,16,0,22,2,0,0
2021-07-09,11,0,25,2,0,0
2021-07-10,8,15,17,2,0,0
2021-07-11,5,26,18,3,0,0
2021-07-12,5,15,18,3,0,0
2021-07-13,12,3,18,4,0,0
2021-07-14,10,0,21,4,0,0
2021-07-15,10,0,26,4,0,0
2021-07-16,10,0,20,4,0,0
2021-07-17,8,14,19,4,0,0
2021-07-18,1,23,18,4,0,0
2021-07-19,3,11,12,4,0,0
2021-07-20,12,2,19,4,0,0
2021-07-21,15,0,24,6,0,0
2021-07-22,16,0,28,6,0,0
2021-07-23,7,0,27,6,0,0
2021-07-24,5,16,27,5,0,0
2021-07-25,3,27,20,5,0,0
2021-07-26,1,12,22,6,0,0
2021-07-27,6,1,25,6,0,0
2021-07-28,12,0,25,6,0,0
2021-07-29,10,0,23,7,0,0
2021-07-30,6,0,18,7,0,0
2021-07-31,9,7,9,8,0,0
