date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,31,0,8,5,12,4,0,2,31,0,0,0
2021-06-02,26,0,8,4,9,3,0,2,26,0,0,0
2021-06-03,28,0,9,5,8,3,0,3,28,0,0,0
2021-06-04,29,0,7,8,8,3,0,3,29,0,0,0
2021-06-05,42,0,10,13,10,4,0,5,42,0,0,0
2021-06-06,40,0,9,11,11,4,0,5,40,0,0,0
2021-06-07,32,0,8,7,8,4,0,5,32,0,0,0
2021-06-08,30,0,7,7,8,3,0,5,29,1,0,0
2021-06-09,33,0,9,10,5,4,1,4,33,0,0,0
2021-06-10,36,0,9,11,7,3,1,5,36,0,0,0
2021-06-11,36,0,8,12,7,4,1,4,36,0,0,0
2021-06-12,53,0,8,20,17,6,0,2,53,0,0,0
2021-06-13,58,0,11,21,18,7,0,1,57,1,0,0
2021-06-14,39,0,10,13,11,4,0,1,39,0,0,0
2021-06-15,32,0,11,8,6,3,2,2,32,0,0,0
2021-06-16,31,0,10,4,9,5,1,2,31,0,0,0
2021-06-17,33,0,7,7,12,5,0,2,33,0,0,0
2021-06-18,39,0,9,10,12,5,0,3,39,0,0,0
2021-06-19,64,0,10,13,21,13,0,7,64,0,0,0
2021-06-20,73,0,16,12,22,13,3,7,73,0,0,0
2021-06-21,50,0,10,9,16,10,0,5,50,0,0,0
2021-06-22,44,0,11,7,13,10,0,3,44,0,0,0
2021-06-23,33,0,9,6,9,7,0,2,33,0,0,0
2021-06-24,34,0,9,5,11,5,2,2,34,0,0,0
2021-06-25,37,0,8,10,10,4,2,3,37,0,0,0
2021-06-26,64,0,16,20,13,11,0,4,64,0,0,0
2021-06-27,66,0,17,19,14,12,0,4,66,0,0,0
2021-06-28,53,0,13,13,11,10,1,5,53,0,0,0
2021-06-29,49,0,11,12,10,9,2,5,49,0,0,0
2021-06-30,40,0,12,7,7,7,1,6,40,0,0,0
2021-07-01,31,0,5,4,11,4,1,6,31,0,0,0
2021-07-02,38,0,7,8,14,2,1,6,38,0,0,0
2021-07-03,55,0,12,14,19,3,1,6,55,0,0,0
2021-07-04,59,0,17,15,14,7,0,6,59,0,0,0
2021-07-05,51,0,15,12,14,8,0,2,51,0,0,0
2021-07-06,52,0,20,13,11,5,0,3,52,0,0,0
2021-07-07,55,0,21,11,14,6,0,3,55,0,0,0
2021-07-08,52,0,17,10,15,6,1,3,52,0,0,0
2021-07-09,51,0,18,10,13,6,1,3,51,0,0,0
2021-07-10,59,0,14,13,18,9,2,3,59,0,0,0
2021-07-11,68,0,15,14,19,14,2,4,68,0,0,0
2021-07-12,49,0,11,10,15,9,1,3,49,0,0,0
2021-07-13,44,0,13,6,11,9,2,3,44,0,0,0
2021-07-14,52,0,11,9,13,10,4,5,52,0,0,0
2021-07-15,57,0,13,8,15,10,4,7,57,0,0,0
2021-07-16,58,0,16,7,16,10,2,7,58,0,0,0
2021-07-17,62,0,17,7,14,10,2,12,62,0,0,0
2021-07-18,64,0,22,4,16,9,2,11,64,0,0,0
2021-07-19,52,0,16,3,16,9,0,8,52,0,0,0
2021-07-20,56,0,14,3,19,11,2,7,55,1,0,0
2021-07-21,57,0,13,4,21,11,3,5,57,0,0,0
2021-07-22,60,0,13,7,18,13,3,6,60,0,0,0
2021-07-23,58,0,12,6,17,15,4,4,58,0,0,0
2021-07-24,51,0,13,5,13,11,4,5,50,1,0,0
2021-07-25,57,0,16,6,14,12,3,6,57,0,0,0
2021-07-26,55,0,10,7,17,13,3,5,55,0,0,0
2021-07-27,58,0,8,6,23,12,4,5,58,0,0,0
2021-07-28,54,0,8,7,21,10,4,4,54,0,0,0
2021-07-29,52,0,10,7,19,10,3,3,52,0,0,0
2021-07-30,55,0,9,8,19,13,2,4,55,0,0,0
2021-07-31,46,0,6,11,14,10,2,3,46,0,0,0
2021-08-01,43,0,7,12,12,8,2,2,43,0,0,0
2021-08-02,41,0,8,12,11,7,0,3,41,0,0,0
2021-08-03,50,0,10,12,14,11,0,3,50,0,0,0
2021-08-04,52,0,13,13,15,10,0,1,52,0,0,0
2021-08-05,63,0,15,12,22,12,0,2,63,0,0,0
2021-08-06,63,0,14,11,25,12,0,1,63,0,0,0
2021-08-07,63,0,15,9,27,11,0,1,63,0,0,0
2021-08-08,60,0,15,10,24,10,0,1,60,0,0,0
2021-08-09,59,0,14,9,21,12,1,2,59,0,0,0
2021-08-10,60,0,15,7,23,9,4,2,60,0,0,0
2021-08-11,66,0,21,7,22,9,4,3,65,1,0,0
2021-08-12,63,0,17,9,21,11,4,1,62,1,0,0
2021-08-13,56,0,14,8,20,11,2,1,56,0,0,0
2021-08-14,53,0,11,10,17,12,2,1,53,0,0,0
2021-08-15,53,0,11,10,18,11,1,2,53,0,0,0
2021-08-16,51,0,13,9,18,7,2,2,51,0,0,0
2021-08-17,56,0,18,6,20,8,2,2,56,0,0,0
2021-08-18,55,0,16,5,24,6,2,2,55,0,0,0
2021-08-19,54,0,16,4,26,6,1,1,54,0,0,0
2021-08-20,53,0,17,6,22,6,1,1,53,0,0,0
2021-08-21,49,0,18,8,18,4,0,1,49,0,0,0
2021-08-22,50,0,18,5,20,5,1,1,50,0,0,0
2021-08-23,36,0,13,4,13,4,0,2,36,0,0,0
2021-08-24,37,0,13,7,12,4,0,1,37,0,0,0
2021-08-25,41,0,17,7,11,4,1,1,41,0,0,0
2021-08-26,37,0,17,7,9,2,1,1,37,0,0,0
2021-08-27,33,0,15,6,8,2,1,1,33,0,0,0
2021-08-28,38,0,18,7,7,2,3,1,38,0,0,0
2021-08-29,41,0,18,8,8,4,2,1,41,0,0,0
2021-08-30,29,0,9,7,8,3,1,1,29,0,0,0
2021-08-31,31,0,9,9,6,4,2,1,31,0,0,0
2021-09-01,28,0,11,9,3,4,0,1,28,0,0,0
2021-09-02,29,0,9,10,2,5,1,2,29,0,0,0
2021-09-03,31,0,8,11,5,5,1,1,31,0,0,0
2021-09-04,34,0,11,10,7,3,1,2,34,0,0,0
2021-09-05,33,0,10,9,7,4,1,2,33,0,0,0
2021-09-06,27,0,7,9,5,5,1,0,27,0,0,0
2021-09-07,37,0,9,12,9,5,2,0,37,0,0,0
2021-09-08,41,0,10,13,11,5,2,0,41,0,0,0
2021-09-09,38,0,9,15,11,3,0,0,38,0,0,0
2021-09-10,38,0,10,14,11,3,0,0,37,1,0,0
2021-09-11,51,0,12,13,19,3,3,1,51,0,0,0
2021-09-12,59,0,14,17,21,4,2,1,59,0,0,0
2021-09-13,49,0,12,12,18,4,1,2,49,0,0,0
2021-09-14,49,0,12,13,17,5,0,2,49,0,0,0
2021-09-15,46,0,16,10,12,5,0,3,46,0,0,0
2021-09-16,45,0,17,9,9,7,0,3,45,0,0,0
