date,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package
2021-06-01,12,4,0,3,0,0
2021-06-02,14,0,0,3,0,0
2021-06-03,14,0,0,3,0,0
2021-06-04,12,0,0,3,0,0
2021-06-05,11,45,0,3,0,0
2021-06-06,7,60,0,3,0,0
2021-06-07,8,12,0,3,0,0
2021-06-08,14,0,0,3,0,0
2021-06-09,25,0,0,4,0,0
2021-06-10,22,0,0,4,0,0
2021-06-11,23,0,0,3,0,0
2021-06-12,21,52,0,2,0,0
2021-06-13,17,74,0,3,0,0
2021-06-14,13,20,0,3,0,0
2021-06-15,18,3,0,3,0,0
2021-06-16,23,2,0,3,0,0
2021-06-17,34,0,0,3,0,0
2021-06-18,29,0,0,3,0,0
2021-06-19,20,58,0,3,0,0
2021-06-20,11,74,0,3,0,0
2021-06-21,4,26,0,2,0,0
2021-06-22,32,5,0,1,0,0
2021-06-23,40,0,0,1,0,0
2021-06-24,42,0,0,2,0,0
2021-06-25,39,0,0,2,0,0
2021-06-26,23,47,0,2,0,0
2021-06-27,13,68,0,2,0,0
2021-06-28,6,28,0,2,0,0
2021-06-29,29,7,0,3,0,0
2021-06-30,35,3,0,3,0,0
2021-07-01,35,0,0,3,0,0
2021-07-02,37,0,0,3,0,0
2021-07-03,20,44,0,2,0,0
2021-07-04,7,68,0,3,0,0
2021-07-05,11,27,0,4,0,0
2021-07-06,35,3,0,5,0,0
2021-07-07,48,3,0,5,0,0
2021-07-08,49,2,0,6,0,0
2021-07-09,30,1,0,6,0,0
2021-07-10,19,42,0,6,0,0
2021-07-11,13,55,0,6,0,0
2021-07-12,7,27,0,7,0,0
2021-07-13,14,8,0,7,0,0
2021-07-14,17,1,0,6,0,0
2021-07-15,19,0,0,6,0,0
2021-07-16,28,0,0,6,0,0
2021-07-17,26,36,0,5,0,0
2021-07-18,13,65,0,5,0,0
2021-07-19,5,34,0,6,0,0
2021-07-20,27,11,0,6,0,0
2021-07-21,29,2,0,4,0,0
2021-07-22,34,1,0,4,0,0
2021-07-23,22,0,0,3,0,0
2021-07-24,16,35,0,3,0,0
2021-07-25,11,51,0,3,0,0
2021-07-26,4,26,0,3,0,0
2021-07-27,18,9,0,4,0,0
2021-07-28,21,3,0,5,0,0
2021-07-29,21,2,0,6,0,0
2021-07-30,8,0,0,6,0,0
2021-07-31,5,13,0,5,0,0
2021-08-01,7,18,0,3,0,0
2021-08-02,6,6,0,3,0,0
2021-08-03,9,4,0,4,0,0
2021-08-04,11,1,0,5,0,0
2021-08-05,10,1,0,4,0,0
2021-08-06,14,1,0,3,0,0
2021-08-07,9,27,0,3,0,0
2021-08-08,5,40,0,4,0,0
2021-08-09,5,23,0,3,0,0
2021-08-10,11,7,0,4,0,0
2021-08-11,14,4,0,4,0,0
2021-08-12,17,4,0,3,0,0
2021-08-13,14,2,0,3,0,0
2021-08-14,8,14,0,4,0,0
2021-08-15,6,18,0,3,0,0
2021-08-16,5,13,0,3,0,0
2021-08-17,11,5,0,3,0,0
2021-08-18,18,2,0,3,0,0
2021-08-19,15,1,0,3,0,0
2021-08-20,17,1,0,3,0,0
2021-08-21,13,15,0,4,0,0
2021-08-22,10,30,0,5,0,0
2021-08-23,5,20,0,8,0,0
2021-08-24,11,8,0,9,0,0
2021-08-25,18,5,0,8,0,0
2021-08-26,24,0,0,8,0,0
2021-08-27,29,0,0,8,0,0
2021-08-28,17,26,0,8,0,0
2021-08-29,6,40,0,8,0,0
