date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,12,0,3,1,2,3,1,2,12,0,0,0
2021-06-02,16,0,3,4,2,4,1,2,16,0,0,0
2021-06-03,14,0,2,3,3,4,1,1,14,0,0,0
2021-06-04,13,0,2,3,3,3,1,1,13,0,0,0
2021-06-05,11,0,2,2,1,5,0,1,11,0,0,0
2021-06-06,15,0,2,2,5,5,0,1,15,0,0,0
2021-06-07,12,0,2,1,6,3,0,0,12,0,0,0
2021-06-08,14,0,5,0,6,3,0,0,14,0,0,0
2021-06-09,13,0,5,0,2,6,0,0,13,0,0,0
2021-06-10,22,0,7,3,3,8,0,1,21,1,0,0
2021-06-11,16,0,2,1,2,9,1,1,14,2,0,0
2021-06-12,18,0,4,3,3,6,1,1,18,0,0,0
2021-06-13,19,0,4,3,4,4,3,1,19,0,0,0
2021-06-14,9,0,2,0,3,4,0,0,9,0,0,0
2021-06-15,15,0,3,3,4,4,1,0,15,0,0,0
2021-06-16,24,0,5,4,7,6,1,1,24,0,0,0
2021-06-17,24,0,5,5,7,6,0,1,24,0,0,0
2021-06-18,13,0,6,1,2,3,0,1,12,1,0,0
2021-06-19,12,0,5,4,1,2,0,0,12,0,0,0
2021-06-20,13,0,5,6,1,1,0,0,13,0,0,0
2021-06-21,8,0,5,1,1,1,0,0,8,0,0,0
2021-06-22,24,0,8,5,3,6,1,1,24,0,0,0
2021-06-23,32,0,8,6,5,9,1,3,32,0,0,0
2021-06-24,26,0,7,5,3,9,1,1,26,0,0,0
2021-06-25,20,0,7,4,1,8,0,0,20,0,0,0
2021-06-26,18,0,3,5,1,8,0,1,18,0,0,0
2021-06-27,23,0,4,6,1,7,4,1,23,0,0,0
2021-06-28,16,0,2,3,3,7,0,1,16,0,0,0
2021-06-29,24,0,6,2,5,9,2,0,24,0,0,0
2021-06-30,26,0,9,3,7,4,2,1,26,0,0,0
2021-07-01,20,0,6,1,4,7,2,0,20,0,0,0
2021-07-02,14,0,5,1,2,5,1,0,14,0,0,0
2021-07-03,20,0,5,4,2,5,0,4,20,0,0,0
2021-07-04,25,0,9,4,3,5,0,4,25,0,0,0
2021-07-05,15,0,5,4,2,4,0,0,15,0,0,0
2021-07-06,22,0,4,5,5,6,1,1,21,1,0,0
2021-07-07,23,0,7,6,6,1,2,1,23,0,0,0
2021-07-08,24,0,8,5,5,2,3,1,23,1,0,0
2021-07-09,18,0,5,2,6,2,1,2,18,0,0,0
2021-07-10,20,0,5,3,6,2,1,3,20,0,0,0
2021-07-11,23,0,7,4,7,2,0,3,23,0,0,0
2021-07-12,11,0,1,1,6,2,0,1,11,0,0,0
2021-07-13,14,0,3,3,5,2,0,1,14,0,0,0
2021-07-14,15,0,4,4,5,1,0,1,15,0,0,0
2021-07-15,18,0,4,5,4,2,1,2,18,0,0,0
2021-07-16,18,0,5,4,5,1,1,2,18,0,0,0
2021-07-17,18,0,6,5,4,1,1,1,18,0,0,0
2021-07-18,21,0,7,4,5,2,2,1,21,0,0,0
2021-07-19,17,0,5,4,4,1,2,1,17,0,0,0
2021-07-20,20,0,4,6,6,1,3,0,20,0,0,0
2021-07-21,25,0,6,5,6,4,3,1,24,1,0,0
2021-07-22,24,0,3,7,7,3,3,1,24,0,0,0
2021-07-23,28,0,6,6,7,6,2,1,28,0,0,0
2021-07-24,27,0,8,5,7,5,2,0,27,0,0,0
2021-07-25,23,0,7,4,6,4,2,0,23,0,0,0
2021-07-26,20,0,3,5,4,4,2,2,19,1,0,0
2021-07-27,23,0,5,6,5,2,3,2,23,0,0,0
2021-07-28,26,0,7,4,9,2,2,2,25,1,0,0
2021-07-29,29,0,8,4,11,2,2,2,29,0,0,0
2021-07-30,24,0,5,6,8,1,2,2,24,0,0,0
2021-07-31,22,0,4,6,8,1,1,2,22,0,0,0
2021-08-01,26,0,7,6,8,2,2,1,26,0,0,0
2021-08-02,22,0,5,4,8,3,2,0,22,0,0,0
2021-08-03,28,0,8,6,7,5,2,0,27,1,0,0
2021-08-04,31,0,10,7,6,5,3,0,30,1,0,0
2021-08-05,30,0,9,5,7,6,3,0,30,0,0,0
2021-08-06,26,0,7,4,8,5,2,0,26,0,0,0
2021-08-07,28,0,5,6,8,7,2,0,28,0,0,0
2021-08-08,23,0,5,5,6,5,2,0,23,0,0,0
2021-08-09,22,0,6,3,6,4,3,0,22,0,0,0
2021-08-10,26,0,9,5,4,4,3,1,25,1,0,0
2021-08-11,27,0,12,4,3,6,1,1,27,0,0,0
2021-08-12,31,0,12,5,4,7,2,1,31,0,0,0
2021-08-13,30,0,10,5,6,5,3,1,30,0,0,0
2021-08-14,26,0,5,6,6,5,3,1,26,0,0,0
2021-08-15,24,0,4,5,8,3,3,1,24,0,0,0
2021-08-16,20,0,7,2,6,3,1,1,20,0,0,0
2021-08-17,20,0,5,4,5,3,2,1,20,0,0,0
2021-08-18,24,0,8,3,7,2,3,1,24,0,0,0
2021-08-19,21,0,5,3,6,3,3,1,21,0,0,0
2021-08-20,17,0,6,2,4,3,1,1,17,0,0,0
2021-08-21,20,0,6,2,5,2,3,2,20,0,0,0
2021-08-22,19,0,5,3,4,3,2,2,19,0,0,0
2021-08-23,19,0,4,2,6,4,2,1,19,0,0,0
2021-08-24,23,0,5,3,8,5,2,0,23,0,0,0
2021-08-25,27,0,9,3,9,5,1,0,27,0,0,0
2021-08-26,28,0,9,4,9,5,1,0,28,0,0,0
2021-08-27,24,0,9,3,8,2,1,1,24,0,0,0
2021-08-28,19,0,3,6,6,2,1,1,19,0,0,0
2021-08-29,21,0,4,5,9,1,1,1,21,0,0,0
2021-08-30,12,0,3,0,6,1,1,1,12,0,0,0
2021-08-31,17,0,4,1,7,3,1,1,17,0,0,0
2021-09-01,18,0,4,1,5,4,2,2,18,0,0,0
2021-09-02,13,0,2,1,2,4,2,2,13,0,0,0
2021-09-03,16,0,5,1,2,5,1,2,16,0,0,0
2021-09-04,14,0,4,2,1,4,1,2,14,0,0,0
2021-09-05,18,0,5,4,3,4,0,2,18,0,0,0
2021-09-06,14,0,3,4,2,3,0,2,14,0,0,0
2021-09-07,26,0,6,6,4,6,2,2,26,0,0,0
2021-09-08,26,0,9,3,4,7,1,2,26,0,0,0
2021-09-09,31,0,13,4,3,8,1,2,31,0,0,0
2021-09-10,23,0,6,1,3,7,2,4,23,0,0,0
2021-09-11,24,0,3,4,5,6,2,4,23,1,0,0
2021-09-12,18,0,2,3,4,4,2,3,18,0,0,0
2021-09-13,10,0,1,2,2,2,1,2,10,0,0,0
2021-09-14,22,0,6,3,6,2,2,3,22,0,0,0
2021-09-15,30,0,8,5,8,4,1,4,30,0,0,0
