date,turnover,discount,booking_fees,lead_time_hours
2021-06-01,945.3,0.0,0.0,98.83126388888857
2021-06-02,1201.1,0.0,0.0,154.80638211382086
2021-06-03,1083.8,0.0,0.0,89.22298412698377
2021-06-04,2387.3,9.84,0.0,215.72198902606283
2021-06-05,1086.4,21.0,0.0,207.8763680555553
2021-06-06,686.8,0.0,0.0,74.12891304347795
2021-06-07,1089.6,0.0,0.0,174.3720424836599
2021-06-08,1279.7,0.0,0.0,338.31022727272716
2021-06-09,1348.2,0.0,0.0,305.7785499999998
2021-06-10,1863.8999999999999,0.0,0.0,160.63910818713424
2021-06-11,3211.9,34.94,0.0,175.04891263057888
2021-06-12,1597.1,18.72,0.0,149.72970996732
2021-06-13,694.5,0.0,0.0,87.9666527777774
2021-06-14,991.1,0.0,0.0,179.86828828828786
2021-06-15,1107.9,0.0,0.0,199.12135869565182
2021-06-16,1477.5,0.0,0.0,154.98375816993433
2021-06-17,2357.2,0.0,0.0,162.55787912912888
2021-06-18,3385.3,41.34,0.0,203.28836317722656
2021-06-19,1385.0,15.76,0.0,313.6395666666665
2021-06-20,1062.5,8.85,0.0,128.40767973856165
2021-06-21,1558.4,0.0,0.0,177.42538065843607
2021-06-22,1461.1,0.0,0.0,251.13922586520928
2021-06-23,1717.1,3.93,0.0,240.095760473588
2021-06-24,2282.4,0.0,0.0,301.7464166666662
2021-06-25,2874.6,53.129999999999995,0.0,202.05965079365052
2021-06-26,1023.3,11.05,0.0,207.88264583333293
2021-06-27,917.9,0.0,0.0,265.3368595679009
2021-06-28,1384.4,37.11,0.0,173.1125599128537
2021-06-29,1301.1,124.2,0.0,120.8448611111108
2021-06-30,1496.9,34.51,0.0,205.01674145299103
2021-07-01,2040.6,32.67,0.0,218.78193615257027
2021-07-02,3612.9,152.85,0.0,224.2683403361343
2021-07-03,1391.1,68.39,0.0,287.4356461352655
2021-07-04,1022.6,0.0,0.0,181.90759523809496
2021-07-05,1777.0,57.29,0.0,153.15635477582816
2021-07-06,1819.0,28.21,0.0,258.782427350427
2021-07-07,1521.9,12.0,0.0,287.67938383838356
2021-07-08,2228.0,9.98,0.0,207.77908088235267
2021-07-09,2847.2,60.97,0.0,231.45407630522072
2021-07-10,2720.4,43.23,0.0,222.05149629629605
2021-07-11,1533.1,38.68,0.0,174.2679710144925
2021-07-12,1549.0,48.45,0.0,230.79553854875257
2021-07-13,1309.5,4.0,0.0,193.39133720930224
2021-07-14,1918.5,8.0,0.0,260.8205092592589
2021-07-15,1772.7,25.7,0.0,217.4517013888886
2021-07-16,2451.0,42.0,0.0,315.7770634920632
2021-07-17,1324.4,53.5,0.0,236.30122895622887
2021-07-18,1241.7,16.82,0.0,271.4959482758616
2021-07-19,2067.5,0.0,0.0,303.8326344086019
2021-07-20,1370.0,5.9,0.0,196.49819753086396
2021-07-21,1457.0,16.0,0.0,244.94482323232288
2021-07-22,1680.5,0.0,0.0,269.4568585858584
2021-07-23,2360.7,22.62,0.0,233.63842836257294
2021-07-24,1138.1,16.86,0.0,186.84475225225205
2021-07-25,1212.9,0.0,0.0,176.78225396825377
2021-07-26,1180.7,0.0,0.0,285.8765313390312
2021-07-27,1638.6,5.9,0.0,379.11224358974334
2021-07-28,948.8,2.97,0.0,217.72525362318828
2021-07-29,1274.8,36.58,0.0,254.42681216931172
2021-07-30,1959.7,30.620000000000005,0.0,308.79817251461964
2021-07-31,1638.5,14.879999999999999,0.0,264.3300600600599
2021-08-01,859.2,9.96,0.0,228.34662698412663
2021-08-02,2055.6,0.0,0.0,273.61208605664467
2021-08-03,1540.4,19.76,0.0,220.07463580246912
2021-08-04,1377.8,19.8,0.0,296.3467763157893
2021-08-05,1433.9,0.0,0.0,323.04183183183164
2021-08-06,2109.1,24.84,0.0,298.07505919854253
2021-08-07,692.7,0.0,0.0,269.7271825396824
2021-08-08,1644.2,23.84,0.0,199.3503333333331
2021-08-09,1967.2,2.96,0.0,244.6857519157087
2021-08-10,1913.0,14.86,0.0,239.8794496855343
2021-08-11,1238.3,0.0,0.0,273.8379999999996
2021-08-12,1636.7,26.88,0.0,337.3945568783066
2021-08-13,2035.0,3.94,0.0,367.3666025641022
2021-08-14,1322.5,12.0,0.0,322.2625095785436
2021-08-15,649.9,8.98,0.0,285.4728594771239
2021-08-16,1718.9,8.85,0.0,516.1373148148147
2021-08-17,1508.7,5.9,0.0,412.4000432098765
2021-08-18,1545.1,2.96,0.0,259.3439009661833
2021-08-19,1185.6,6.88,0.0,255.2724474474472
2021-08-20,1726.3,16.72,0.0,364.5175423728812
2021-08-21,1166.6,27.630000000000003,0.0,263.4925816993462
2021-08-22,718.6,6.0,0.0,104.665046296296
2021-08-23,1380.9,6.88,0.0,226.9785648148145
2021-08-24,1102.3,0.0,0.0,298.29175213675205
2021-08-25,1242.4,0.0,0.0,284.6418819444442
2021-08-26,1376.0,0.0,0.0,271.0868794326239
2021-08-27,2409.1,41.42,0.0,252.58933265582638
2021-08-28,769.1,0.0,0.0,258.89479390681
2021-08-29,631.4,8.98,0.0,224.98104938271558
2021-08-30,1360.4,5.9,0.0,219.68977541371117
2021-08-31,840.5,10.82,0.0,195.7820959595957
2021-09-01,1103.7,0.0,0.0,178.8063742690056
2021-09-02,938.6,10.82,0.0,289.7956507936507
2021-09-03,2484.7,26.56,0.0,121.90708937198038
2021-09-04,1292.6,6.9,0.0,160.04052662037006
2021-09-05,1002.0,3.44,0.0,221.65818100358402
2021-09-06,2086.1,0.0,0.0,108.78131944444414
2021-09-07,1913.3,0.0,0.0,220.23465384615372
2021-09-08,1662.1,0.0,0.0,141.0149907407405
2021-09-09,2205.4,0.0,0.0,208.00353023909963
2021-09-10,3006.7000000000003,19.68,0.0,181.3699512670562
2021-09-11,987.8000000000001,2.96,0.0,148.79895833333302
2021-09-12,820.0,0.0,0.0,119.97626666666636
2021-09-13,2518.5,0.0,0.0,172.1659556878304
2021-09-14,1849.3,35.58,0.0,183.5500726495723
2021-09-15,1528.4,0.0,0.0,171.98961616161586
2021-09-16,2088.8,5.17,0.0,179.79789193302867
2021-09-17,3454.9,14.76,0.0,184.39609061930767
2021-09-18,1927.5,10.44,0.0,149.84948509485068
2021-09-19,894.6,11.79,0.0,234.2647630718951
2021-09-20,2228.2,0.0,0.0,144.74868340943658
2021-09-21,1825.9,0.0,0.0,137.44950075075045
2021-09-22,2135.2,0.0,0.0,246.13863119143207
2021-09-23,2674.5,2.97,0.0,199.4363952745846
2021-09-24,3414.3,9.84,0.0,155.71701017811674
2021-09-25,1803.7,3.94,0.0,164.9763400900898
2021-09-26,917.9,0.0,0.0,193.26997311827944
2021-09-27,1908.4,0.0,0.0,165.8230683760681
2021-09-28,1841.5,0.0,0.0,343.09130769230734
2021-09-29,1260.1,0.0,0.0,168.2915593434341
2021-09-30,2173.5,0.0,0.0,240.61774024024
2021-10-01,3652.2,150.09,0.0,187.70119212962942
2021-10-02,1374.6,12.79,0.0,126.51931451612874
2021-10-03,552.4,0.0,0.0,268.5107561728393
2021-10-04,2147.8,16.229999999999997,0.0,157.94680930930892
2021-10-05,1777.7,5.91,0.0,107.68206521739097
2021-10-06,1955.3,20.700000000000003,0.0,157.4109393274851
2021-10-07,2524.6,32.85,0.0,134.60272156084625
2021-10-08,3451.6,25.08,0.0,190.48545355902758
2021-10-09,1139.7,21.67,0.0,109.27975427350405
2021-10-10,964.8,7.38,0.0,156.37631481481452
2021-10-11,2119.2,19.380000000000003,0.0,167.7724999999998
2021-10-12,2395.1,8.88,0.0,161.52571785268378
2021-10-13,2096.0,6.7,0.0,151.38083333333304
2021-10-14,2821.5,20.39,0.0,163.31568728522308
2021-10-15,3597.9,18.2,0.0,175.12405004240858
2021-10-16,1837.3,3.94,0.0,153.94198412698398
2021-10-17,637.2,0.0,0.0,137.8836363636361
2021-10-18,2162.6,31.18,0.0,146.91601726726688
2021-10-19,2048.6,0.0,0.0,132.54600975975944
2021-10-20,2145.6,28.41,0.0,191.58178362573085
2021-10-21,2874.9,25.259999999999998,0.0,239.98769927536202
2021-10-22,3756.6,64.32,0.0,254.1999247144338
2021-10-23,3813.8,17.91,0.0,268.96085372069297
2021-10-24,2920.6,12.0,0.0,233.85396624472554
2021-10-25,2911.0,10.32,0.0,227.08685290404017
2021-10-26,2732.9,0.0,0.0,230.61824074074062
2021-10-27,2875.9,8.85,0.0,247.34601532567032
2021-10-28,4072.8,0.0,0.0,184.99641838741366
2021-10-29,5822.3,46.08,0.0,338.3329021813222
2021-10-30,4184.2,28.2,0.0,254.5430381944443
2021-10-31,2361.1,12.0,0.0,300.77254629629607
2021-11-01,1889.9,0.0,0.0,274.14755910165456
2021-11-02,1970.2,2.95,0.0,304.93590020576147
2021-11-03,1859.0,12.0,0.0,327.7122067901232
2021-11-04,2298.2,0.0,0.0,204.79290204678344
2021-11-05,2506.1,13.18,0.0,185.53385802469103
2021-11-06,978.0,0.0,0.0,348.42654558404536
2021-11-07,1416.6,0.0,0.0,195.821216216216
2021-11-08,3106.0,20.85,0.0,194.04928240740708
2021-11-09,2555.2,19.35,0.0,257.3435251322748
2021-11-10,6896.2,12.0,0.0,257.2723412698411
2021-11-11,6626.5,30.96,0.0,310.05027633851444
2021-11-12,2707.8,3.44,0.0,188.73068262411323
2021-11-13,1028.3,0.0,0.0,253.05566049382696
2021-11-14,1524.9,10.32,0.0,279.8187301587299
2021-11-15,3845.1,31.21,0.0,196.32654826958085
2021-11-16,2784.1,16.26,0.0,182.3187376237621
2021-11-17,2621.4,7.38,0.0,312.1156040992447
2021-11-18,2354.8,2.46,0.0,225.40468792866918
2021-11-19,4825.8,8.370000000000001,0.0,245.57308445728935
2021-11-20,2542.8,3.94,0.0,231.78010127314803
2021-11-21,1352.3,0.0,0.0,170.69470284237713
2021-11-22,3384.8,0.0,0.0,265.43068486590016
2021-11-23,1939.6,0.0,0.0,196.83370481927685
2021-11-24,2591.8,0.0,0.0,223.8980162738494
2021-11-25,3455.9,0.0,0.0,250.06310028248555
2021-11-26,4491.4,28.529999999999998,0.0,300.308958333333
2021-11-27,1865.9,3.94,0.0,160.55733882030165
2021-11-28,1564.8,5.91,0.0,212.2713017429192
