date,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package
2021-06-01,7,0,0,4,5,0
2021-06-02,13,0,0,4,3,0
2021-06-03,14,0,0,4,2,0
2021-06-04,5,0,0,3,2,0
2021-06-05,6,0,0,2,3,0
2021-06-06,6,0,0,2,2,0
2021-06-07,2,0,0,2,4,0
2021-06-08,6,0,0,2,4,0
2021-06-09,9,0,0,2,3,0
2021-06-10,10,0,0,2,4,0
2021-06-11,9,0,0,3,3,0
2021-06-12,4,0,0,4,2,0
2021-06-13,7,0,0,4,1,0
2021-06-14,3,0,0,6,1,0
2021-06-15,11,0,0,6,1,0
2021-06-16,11,0,0,6,2,0
2021-06-17,12,0,0,6,2,0
2021-06-18,8,0,0,6,5,0
2021-06-19,9,0,0,6,5,0
2021-06-20,7,0,0,6,6,0
2021-06-21,2,0,0,5,9,0
2021-06-22,9,0,0,5,9,0
2021-06-23,16,0,0,5,9,0
2021-06-24,18,0,0,4,10,0
2021-06-25,12,0,0,3,9,0
2021-06-26,12,0,0,3,8,0
2021-06-27,11,0,0,3,8,0
2021-06-28,4,0,0,4,7,0
2021-06-29,7,0,0,5,6,0
2021-06-30,19,0,0,4,4,0
2021-07-01,15,0,0,3,3,0
2021-07-02,16,0,0,3,3,0
2021-07-03,5,0,0,3,4,0
2021-07-04,7,0,0,3,4,0
2021-07-05,4,0,0,3,6,0
2021-07-06,9,0,0,3,9,0
2021-07-07,18,0,0,3,10,0
2021-07-08,14,0,0,3,9,0
2021-07-09,10,0,0,3,8,0
2021-07-10,11,0,0,4,6,0
2021-07-11,38,0,0,4,9,0
2021-07-12,19,0,0,5,10,0
2021-07-13,24,0,0,5,9,0
2021-07-14,18,0,0,7,8,0
2021-07-15,27,0,0,7,9,0
2021-07-16,12,0,0,8,6,0
2021-07-17,12,0,0,9,4,0
2021-07-18,13,0,0,9,4,0
2021-07-19,11,0,0,11,4,0
2021-07-20,15,0,0,11,7,0
2021-07-21,18,0,0,10,8,0
2021-07-22,16,0,0,8,9,0
2021-07-23,10,0,0,9,10,0
2021-07-24,7,0,0,9,7,0
2021-07-25,8,0,0,9,5,0
2021-07-26,11,0,0,9,9,0
2021-07-27,13,0,0,10,12,0
2021-07-28,13,0,0,11,13,0
2021-07-29,9,0,0,12,12,0
2021-07-30,6,0,0,12,11,0
2021-07-31,3,0,0,11,9,0
2021-08-01,4,0,0,11,5,0
2021-08-02,4,0,0,11,5,0
2021-08-03,3,0,0,13,5,0
2021-08-04,3,0,0,13,4,0
2021-08-05,1,0,0,11,4,0
2021-08-06,3,0,0,11,3,0
2021-08-07,3,0,0,10,2,0
2021-08-08,4,0,0,8,4,0
2021-08-09,2,0,0,10,3,0
2021-08-10,3,0,0,7,3,0
2021-08-11,1,0,0,7,3,0
2021-08-12,1,0,0,6,3,0
2021-08-13,0,0,0,4,3,0
2021-08-14,0,0,0,4,3,0
2021-08-15,0,0,0,4,2,0
2021-08-16,1,0,0,5,2,0
2021-08-17,1,0,0,5,2,0
2021-08-18,0,0,0,4,2,0
2021-08-19,0,0,0,4,3,0
2021-08-20,0,0,0,4,2,0
2021-08-21,0,0,0,3,2,0
2021-08-22,5,0,0,3,2,0
2021-08-23,5,0,0,3,2,0
2021-08-24,15,0,0,3,10,0
2021-08-25,13,0,0,3,11,0
2021-08-26,17,0,0,0,10,0
2021-08-27,9,0,0,0,12,0
2021-08-28,4,0,0,0,4,0
2021-08-29,5,0,0,0,3,0
2021-08-30,1,0,0,1,4,0
2021-08-31,10,0,0,1,6,0
2021-09-01,10,0,0,1,5,0
2021-09-02,9,0,0,1,5,0
2021-09-03,8,0,0,2,6,0
2021-09-04,4,0,0,2,5,0
2021-09-05,7,0,0,2,6,0
2021-09-06,1,0,0,3,6,0
2021-09-07,8,0,0,3,6,0
2021-09-08,20,0,0,3,6,0
2021-09-09,24,0,0,3,6,0
2021-09-10,21,0,0,3,4,0
2021-09-11,18,0,0,3,3,0
2021-09-12,13,0,0,3,3,0
2021-09-13,10,0,0,3,4,0
2021-09-14,22,0,0,2,2,0
2021-09-15,32,0,0,2,4,0
2021-09-16,22,0,0,1,3,0
2021-09-17,9,0,0,1,5,0
2021-09-18,10,0,0,0,6,0
2021-09-19,12,0,0,0,6,0
2021-09-20,3,0,0,0,5,0
2021-09-21,12,0,0,0,6,0
2021-09-22,18,0,0,0,5,0
2021-09-23,22,0,0,0,4,0
2021-09-24,13,0,0,1,3,0
2021-09-25,11,0,0,1,2,0
2021-09-26,8,0,0,1,2,0
2021-09-27,6,0,0,1,2,0
2021-09-28,6,0,0,2,4,0
2021-09-29,21,0,0,2,5,0
2021-09-30,10,0,0,2,7,0
2021-10-01,6,0,0,2,7,0
2021-10-02,10,0,0,3,4,0
2021-10-03,12,0,0,3,3,0
2021-10-04,4,0,0,3,1,0
2021-10-05,11,0,0,4,3,0
2021-10-06,17,0,0,4,3,0
2021-10-07,15,0,0,4,4,0
2021-10-08,14,0,0,3,4,0
2021-10-09,7,0,0,3,1,0
2021-10-10,5,0,0,3,1,0
2021-10-11,3,0,0,2,2,0
2021-10-12,14,0,0,3,3,0
2021-10-13,30,0,0,3,4,0
2021-10-14,24,0,0,3,4,0
2021-10-15,18,0,0,2,4,0
2021-10-16,15,0,0,1,5,0
2021-10-17,17,0,0,1,4,0
2021-10-18,3,0,0,1,4,0
2021-10-19,17,0,0,1,7,0
2021-10-20,29,0,0,1,7,0
2021-10-21,25,0,0,2,6,0
2021-10-22,10,0,0,3,8,0
2021-10-23,11,0,0,3,7,0
2021-10-24,10,0,0,3,7,0
2021-10-25,0,0,0,3,7,0
2021-10-26,8,0,0,4,6,0
2021-10-27,15,0,0,4,7,0
2021-10-28,10,0,0,4,8,0
2021-10-29,6,0,0,5,9,0
2021-10-30,4,0,0,5,9,0
2021-10-31,3,0,0,4,11,0
2021-11-01,1,0,0,4,9,0
