date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-09-09,40,13,12,16,8,10,5,2,53,0,0,0
2021-09-10,32,11,12,7,7,11,5,1,42,1,0,0
2021-09-11,93,10,8,56,7,20,4,8,103,0,0,0
2021-09-12,108,12,17,56,14,18,7,8,120,0,0,0
2021-09-13,45,4,10,19,8,6,3,3,49,0,0,0
2021-09-14,47,9,19,8,10,10,5,4,55,1,0,0
2021-09-15,49,10,21,11,5,11,6,5,59,0,0,0
2021-09-16,54,14,20,15,5,16,7,5,68,0,0,0
2021-09-17,39,8,11,10,10,12,3,1,46,1,0,0
2021-09-18,97,11,7,58,10,24,2,7,108,0,0,0
2021-09-19,116,14,22,62,11,22,6,7,130,0,0,0
2021-09-20,31,5,7,14,3,8,1,3,35,1,0,0
2021-09-21,27,6,11,5,3,8,4,2,32,1,0,0
2021-09-22,29,6,17,3,3,10,2,0,35,0,0,0
2021-09-23,46,14,20,12,7,14,5,2,58,2,0,0
2021-09-24,42,14,20,9,12,10,4,1,55,1,0,0
2021-09-25,98,10,17,44,6,22,3,16,108,0,0,0
2021-09-26,127,13,33,44,15,24,8,16,139,1,0,0
2021-09-27,38,8,13,11,8,9,2,3,46,0,0,0
2021-09-28,34,12,14,9,6,8,7,2,46,0,0,0
2021-09-29,49,7,19,15,7,8,3,4,54,2,0,0
2021-09-30,53,13,15,14,14,10,8,5,66,0,0,0
2021-10-01,39,9,11,11,5,12,5,4,46,2,0,0
2021-10-02,75,6,5,47,3,11,5,10,80,1,0,0
2021-10-03,89,5,18,47,9,9,3,8,94,0,0,0
2021-10-04,35,4,13,11,5,3,3,4,39,0,0,0
2021-10-05,31,12,15,9,5,7,4,3,43,0,0,0
2021-10-06,46,14,13,15,4,16,9,3,59,1,0,0
2021-10-07,48,17,19,19,7,11,6,3,65,0,0,0
2021-10-08,39,16,16,12,7,8,9,3,55,0,0,0
2021-10-09,116,14,8,77,8,21,5,11,130,0,0,0
2021-10-10,131,14,20,74,16,23,2,10,144,1,0,0
2021-10-11,34,5,7,16,7,4,0,5,39,0,0,0
2021-10-12,38,9,13,10,10,10,3,1,46,1,0,0
2021-10-13,41,12,19,10,9,14,1,0,50,3,0,0
2021-10-14,54,9,22,13,8,15,4,1,63,0,0,0
2021-10-15,41,6,19,12,8,4,4,0,47,0,0,0
2021-10-16,106,11,15,55,6,22,5,14,116,1,0,0
2021-10-17,132,15,36,49,14,22,11,15,147,0,0,0
2021-10-18,50,7,13,13,7,13,7,4,57,0,0,0
2021-10-19,49,14,17,23,7,8,6,2,63,0,0,0
2021-10-20,60,13,21,29,9,5,4,5,73,0,0,0
2021-10-21,71,14,31,24,9,15,1,5,84,1,0,0
2021-10-22,51,7,17,9,11,15,4,2,57,1,0,0
2021-10-23,86,10,11,36,7,25,5,12,96,0,0,0
2021-10-24,100,15,23,38,11,24,8,11,113,2,0,0
2021-10-25,59,11,18,14,12,16,7,3,70,0,0,0
2021-10-26,47,10,15,13,11,10,7,1,57,0,0,0
2021-10-27,54,11,19,17,12,11,5,1,65,0,0,0
2021-10-28,53,10,23,10,13,10,7,0,62,1,0,0
2021-10-29,37,8,19,2,9,5,10,0,45,0,0,0
2021-10-30,97,6,20,41,9,14,9,10,103,0,0,0
2021-10-31,116,9,31,42,11,14,18,9,125,0,0,0
2021-11-01,104,7,33,34,9,12,15,8,111,0,0,0
2021-11-02,42,4,14,10,7,4,9,2,46,0,0,0
2021-11-03,37,4,15,8,7,3,7,1,39,2,0,0
2021-11-04,40,7,14,8,9,5,10,1,45,2,0,0
2021-11-05,38,7,13,9,8,7,8,0,44,1,0,0
2021-11-06,69,9,10,32,4,14,10,8,78,0,0,0
2021-11-07,86,7,22,30,7,13,13,8,93,0,0,0
2021-11-08,27,6,6,11,3,7,3,3,33,0,0,0
2021-11-09,43,6,20,11,3,7,5,3,49,0,0,0
2021-11-10,41,6,15,13,5,5,8,1,45,2,0,0
2021-11-11,28,7,11,11,4,1,8,0,34,1,0,0
2021-11-12,48,12,17,11,18,3,11,0,60,0,0,0
2021-11-13,89,12,15,39,19,15,11,2,101,0,0,0
2021-11-14,96,13,26,37,17,16,11,2,109,0,0,0
2021-11-15,48,7,13,14,8,11,9,0,55,0,0,0
2021-11-16,62,19,26,19,12,18,6,0,81,0,0,0
2021-11-17,93,25,37,24,19,30,8,0,118,0,0,0
2021-11-18,76,24,32,23,22,19,4,0,100,0,0,0
2021-11-19,59,17,29,19,10,9,5,4,76,0,0,0
2021-11-20,116,11,11,67,9,19,8,13,127,0,0,0
2021-11-21,140,11,32,63,13,20,11,12,148,3,0,0
2021-11-22,59,9,11,20,8,13,12,4,67,1,0,0
2021-11-23,72,16,23,15,7,26,13,4,88,0,0,0
2021-11-24,74,23,24,23,11,24,10,5,97,0,0,0
2021-11-25,80,25,33,30,10,23,4,5,105,0,0,0
2021-11-26,66,33,29,29,9,22,5,5,97,2,0,0
2021-11-27,115,32,23,71,8,25,7,13,144,3,0,0
2021-11-28,144,21,37,68,13,23,11,13,163,2,0,0
2021-11-29,47,12,15,14,9,7,7,7,59,0,0,0
2021-11-30,77,16,23,18,14,23,11,4,91,2,0,0
2021-12-01,71,15,16,22,16,22,6,4,84,2,0,0
2021-12-02,68,18,27,20,13,21,4,1,85,1,0,0
2021-12-03,50,17,23,13,10,13,5,3,67,0,0,0
2021-12-04,116,14,17,74,3,20,7,9,129,1,0,0
2021-12-05,147,17,37,74,14,22,8,9,163,1,0,0
2021-12-06,51,7,20,16,7,8,4,3,57,1,0,0
2021-12-07,45,5,22,8,7,7,4,2,50,0,0,0
2021-12-08,60,10,24,11,13,10,10,2,69,1,0,0
2021-12-09,62,13,21,13,15,21,4,1,75,0,0,0
2021-12-10,50,10,11,11,16,15,5,2,59,1,0,0
2021-12-11,120,11,13,62,11,28,4,13,131,0,0,0
2021-12-12,141,15,33,59,14,26,11,13,155,1,0,0
2021-12-13,54,5,16,16,11,7,8,1,59,0,0,0
2021-12-14,43,9,15,11,14,9,3,0,52,0,0,0
2021-12-15,52,11,21,17,13,10,2,0,62,1,0,0
2021-12-16,41,9,14,8,12,10,5,1,49,1,0,0
2021-12-17,30,8,14,5,8,4,7,0,37,1,0,0
2021-12-18,41,3,4,22,2,10,2,4,43,1,0,0
2021-12-19,63,4,17,21,6,12,7,4,67,0,0,0
2021-12-20,34,6,11,7,9,6,6,1,40,0,0,0
2021-12-21,38,7,10,5,12,8,10,0,45,0,0,0
2021-12-22,38,15,16,6,9,9,13,0,52,1,0,0
2021-12-23,27,14,13,5,6,10,6,1,41,0,0,0
2021-12-24,33,16,13,12,7,11,5,1,49,0,0,0
2021-12-25,71,26,22,27,13,21,10,4,97,0,0,0
2021-12-26,89,24,29,27,18,20,14,5,113,0,0,0
2021-12-27,65,14,21,17,16,9,12,4,78,1,0,0
2021-12-28,49,10,17,9,14,3,15,1,58,1,0,0
2021-12-29,37,5,14,5,9,2,12,0,41,1,0,0
2021-12-30,24,4,9,3,9,2,5,0,27,1,0,0
2021-12-31,30,4,7,3,9,4,10,1,34,0,0,0
2022-01-01,41,5,7,8,12,5,12,2,46,0,0,0
2022-01-02,27,3,3,6,5,5,9,2,30,0,0,0
2022-01-03,9,2,1,3,1,3,2,1,11,0,0,0
2022-01-04,10,3,5,1,2,1,4,0,13,0,0,0
2022-01-05,13,2,5,2,2,1,5,0,14,1,0,0
2022-01-06,18,3,8,4,4,4,1,0,20,1,0,0
2022-01-07,19,1,9,3,4,2,2,0,20,0,0,0
2022-01-08,48,3,5,23,2,6,4,11,51,0,0,0
2022-01-09,63,6,14,27,6,6,6,10,68,1,0,0
2022-01-10,22,4,4,15,3,0,2,2,25,1,0,0
2022-01-11,18,5,5,11,4,3,0,0,21,2,0,0
2022-01-12,22,8,8,5,4,10,2,1,30,0,0,0
2022-01-13,24,8,6,11,7,4,2,2,32,0,0,0
2022-01-14,16,11,5,11,7,1,1,2,27,0,0,0
2022-01-15,55,14,6,43,7,7,0,6,69,0,0,0
2022-01-16,73,10,16,42,7,10,2,6,83,0,0,0
2022-01-17,29,5,11,9,7,7,0,0,34,0,0,0
2022-01-18,21,7,6,6,8,6,2,0,28,0,0,0
2022-01-19,30,11,8,10,8,8,7,0,39,2,0,0
2022-01-20,29,6,12,4,7,8,4,0,34,1,0,0
2022-01-21,21,7,14,2,4,5,1,2,26,2,0,0
2022-01-22,56,7,10,31,6,9,1,6,62,1,0,0
2022-01-23,64,7,19,29,7,10,1,5,71,0,0,0
2022-01-24,23,2,6,7,7,4,0,1,24,1,0,0
2022-01-25,23,3,7,3,7,5,3,1,26,0,0,0
2022-01-26,29,5,12,5,9,3,3,2,34,0,0,0
2022-01-27,24,4,5,6,10,4,0,3,27,1,0,0
2022-01-28,16,3,2,5,7,4,0,1,19,0,0,0
2022-01-29,62,12,9,32,8,14,3,8,74,0,0,0
2022-01-30,74,12,20,30,9,15,3,9,86,0,0,0
2022-01-31,35,4,12,11,4,9,0,3,39,0,0,0
2022-02-01,25,5,9,7,7,4,2,1,30,0,0,0
2022-02-02,31,4,8,7,10,6,3,1,35,0,0,0
2022-02-03,30,6,8,8,9,7,3,1,36,0,0,0
2022-02-04,33,5,13,9,7,8,0,1,36,2,0,0
2022-02-05,97,7,13,39,10,27,2,13,104,0,0,0
2022-02-06,125,14,35,41,14,26,10,13,138,1,0,0
2022-02-07,62,11,22,22,7,12,7,3,73,0,0,0
2022-02-08,42,13,14,15,12,7,7,0,54,1,0,0
2022-02-09,58,16,25,16,17,5,11,0,73,1,0,0
2022-02-10,62,10,27,10,12,6,16,1,72,0,0,0
2022-02-11,50,9,19,6,9,10,12,3,58,1,0,0
2022-02-12,110,12,24,35,20,21,12,10,121,1,0,0
2022-02-13,124,16,39,35,22,20,15,9,139,1,0,0
2022-02-14,55,14,22,13,15,11,6,2,69,0,0,0
2022-02-15,47,13,20,12,12,8,6,2,60,0,0,0
2022-02-16,53,11,20,13,8,10,10,3,64,0,0,0
2022-02-17,43,6,15,8,2,10,11,3,49,0,0,0
2022-02-18,29,4,10,5,4,9,4,1,33,0,0,0
2022-02-19,70,6,18,28,5,12,7,6,75,1,0,0
2022-02-20,81,6,26,29,8,10,9,5,86,1,0,0
2022-02-21,37,3,14,12,2,5,4,3,40,0,0,0
2022-02-22,30,6,18,5,4,3,5,1,36,0,0,0
2022-02-23,37,8,20,12,4,4,4,1,45,0,0,0
2022-02-24,27,8,11,5,8,6,5,0,34,1,0,0
2022-02-25,27,4,9,7,5,2,5,3,30,1,0,0
2022-02-26,90,11,15,47,12,14,6,7,101,0,0,0
2022-02-27,109,12,32,46,17,12,9,5,121,0,0,0
2022-02-28,42,6,12,14,11,6,3,2,48,0,0,0
2022-03-01,29,8,14,8,9,3,2,1,37,0,0,0
2022-03-02,37,5,14,10,9,7,0,2,41,1,0,0
2022-03-03,35,6,12,8,7,9,2,3,41,0,0,0
2022-03-04,38,4,13,4,10,7,6,2,42,0,0,0
2022-03-05,114,10,19,47,16,21,5,16,124,0,0,0
2022-03-06,124,13,33,45,16,21,6,16,137,0,0,0
2022-03-07,45,6,12,9,14,9,5,2,51,0,0,0
2022-03-08,43,12,18,10,11,8,5,3,53,2,0,0
2022-03-09,53,19,26,13,13,14,5,1,72,0,0,0
2022-03-10,72,13,29,17,6,19,13,1,85,0,0,0
2022-03-11,66,11,23,20,6,17,9,2,75,2,0,0
2022-03-12,162,12,29,70,19,32,10,14,173,1,0,0
2022-03-13,177,11,44,66,21,29,14,14,187,1,0,0
2022-03-14,66,8,20,17,18,9,7,3,74,0,0,0
2022-03-15,68,13,24,19,18,13,7,0,79,2,0,0
2022-03-16,77,12,25,18,18,14,14,0,89,0,0,0
2022-03-17,80,9,29,21,15,12,12,0,87,2,0,0
2022-03-18,86,13,32,29,16,10,9,3,98,1,0,0
2022-03-19,186,17,29,97,22,27,11,17,203,0,0,0
2022-03-20,217,19,54,95,32,28,10,17,236,0,0,0
2022-03-21,89,6,24,32,20,11,6,2,95,0,0,0
2022-03-22,71,12,29,23,14,8,8,1,83,0,0,0
2022-03-23,73,9,26,25,13,12,5,1,82,0,0,0
2022-03-24,67,13,19,25,13,15,6,2,79,1,0,0
2022-03-25,78,11,19,24,12,15,12,7,87,2,0,0
2022-03-26,184,14,23,86,33,23,16,17,197,1,0,0
2022-03-27,183,15,28,84,35,19,13,19,196,2,0,0
2022-03-28,82,11,20,25,21,12,8,7,92,1,0,0
2022-03-29,58,8,21,14,11,11,8,1,65,1,0,0
2022-03-30,69,9,18,18,19,14,7,2,77,1,0,0
2022-03-31,78,9,26,19,15,14,11,2,84,3,0,0
2022-04-01,66,7,19,17,16,10,10,1,72,1,0,0
2022-04-02,172,12,31,71,15,31,10,26,183,1,0,0
2022-04-03,188,18,56,71,13,29,10,27,204,2,0,0
2022-04-04,71,7,29,16,6,10,7,10,78,0,0,0
2022-04-05,61,7,21,14,11,14,7,1,65,3,0,0
2022-04-06,73,11,28,18,11,19,8,0,84,0,0,0
2022-04-07,79,12,36,18,12,16,8,1,91,0,0,0
2022-04-08,51,9,24,16,5,9,4,2,58,2,0,0
2022-04-09,129,16,28,55,9,26,9,18,142,3,0,0
2022-04-10,152,16,40,55,16,28,13,16,164,4,0,0
2022-04-11,82,14,31,16,17,15,12,5,96,0,0,0
2022-04-12,71,14,33,10,15,13,14,0,84,1,0,0
