date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package,turnover,discount,booking_fees,lead_time_hours,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30,strike,holidays,vacation
2021-06-01,12,3,7,0,8,0,0,4,0,0,209.7,0.0,0.0,65.85730158730114,12,0,3,1,2,3,1,2,12,0,0,0,0,0,0
2021-06-02,16,3,5,0,12,0,0,4,0,0,113.1,0.0,0.0,88.55105555555521,16,0,3,4,2,4,1,2,16,0,0,0,0,0,0
2021-06-03,14,3,6,1,10,0,0,4,0,0,129.6,0.0,0.0,112.79289682539658,14,0,2,3,3,4,1,1,14,0,0,0,0,0,0
2021-06-04,13,3,6,0,10,0,0,3,0,0,194.6,14.0,0.0,47.71851851851816,13,0,2,3,3,3,1,1,13,0,0,0,0,0,0
2021-06-05,11,2,6,0,3,5,0,3,0,0,186.4,4.32,0.0,173.49430555555534,11,0,2,2,1,5,0,1,11,0,0,0,0,0,0
2021-06-06,15,1,3,0,7,5,0,3,0,0,212.7,0.0,0.0,136.04009259259234,15,0,2,2,5,5,0,1,15,0,0,0,0,0,0
2021-06-07,12,0,9,1,5,3,0,4,0,0,393.2,0.0,0.0,99.5970555555553,12,0,2,1,6,3,0,0,12,0,0,0,0,0,0
2021-06-08,14,1,5,1,11,0,0,3,0,0,182.3,0.0,0.0,88.23055555555533,14,0,5,0,6,3,0,0,14,0,0,0,0,0,0
2021-06-09,13,1,14,0,9,0,0,4,0,0,380.5,0.0,0.0,63.40490079365036,13,0,5,0,2,6,0,0,13,0,0,0,0,0,0
2021-06-10,22,1,12,0,18,0,0,4,0,0,248.9,0.0,0.0,166.40032407407375,22,0,7,3,3,8,0,1,21,1,0,0,0,0,0
2021-06-11,16,0,11,0,13,0,0,3,0,0,495.9,7.0,0.0,141.35146464646436,16,0,2,1,2,9,1,1,14,2,0,0,0,0,0
2021-06-12,18,0,5,0,10,4,0,4,0,0,119.6,5.74,0.0,76.6592777777774,18,0,4,3,3,6,1,1,18,0,0,0,0,0,0
2021-06-13,19,0,3,1,12,4,0,3,0,0,206.8,0.0,0.0,174.09833333333324,19,0,4,3,4,4,3,1,19,0,0,0,0,0,0
2021-06-14,9,1,9,0,5,1,0,3,0,0,347.79999999999995,0.0,0.0,76.63725308641934,9,0,2,0,3,4,0,0,9,0,0,0,0,0,0
2021-06-15,15,1,15,0,12,0,0,3,0,0,464.0,0.0,0.0,89.73144444444414,15,0,3,3,4,4,1,0,15,0,0,0,0,0,0
2021-06-16,24,1,9,0,21,0,0,3,0,0,279.6,0.0,0.0,84.85882716049345,24,0,5,4,7,6,1,1,24,0,0,0,0,0,0
2021-06-17,24,1,4,0,22,0,0,2,0,0,136.1,0.0,0.0,162.05097222222224,24,0,5,5,7,6,0,1,24,0,0,0,0,0,0
2021-06-18,13,1,9,1,11,0,0,2,0,0,215.6,0.0,0.0,58.3094166666664,13,0,6,1,2,3,0,1,12,1,0,0,0,0,0
2021-06-19,12,1,5,0,7,3,0,2,0,0,242.9,0.0,0.0,591.1047222222214,12,0,5,4,1,2,0,0,12,0,0,0,0,0,0
2021-06-20,13,0,1,0,8,3,0,2,0,0,35.8,0.0,0.0,21.627222222222,13,0,5,6,1,1,0,0,13,0,0,0,0,0,0
2021-06-21,8,0,17,1,6,0,0,2,0,0,692.6,0.0,0.0,170.43374999999972,8,0,5,1,1,1,0,0,8,0,0,0,0,0,0
2021-06-22,24,1,20,0,21,0,0,3,0,0,730.2,0.0,0.0,111.9987916666664,24,0,8,5,3,6,1,1,24,0,0,0,0,0,0
2021-06-23,32,1,7,0,29,0,0,3,0,0,256.5,0.0,0.0,89.12789682539643,32,0,8,6,5,9,1,3,32,0,0,0,0,0,0
2021-06-24,26,0,12,4,22,0,0,4,0,0,305.6,0.0,0.0,119.52822916666643,26,0,7,5,3,9,1,1,26,0,0,0,0,0,0
2021-06-25,20,2,11,0,16,0,0,4,0,0,399.2,0.0,0.0,124.8123484848482,20,0,7,4,1,8,0,0,20,0,0,0,0,0,0
2021-06-26,18,2,9,0,7,6,0,5,0,0,335.2,0.0,0.0,243.8549691358021,18,0,3,5,1,8,0,1,18,0,0,0,0,0,0
2021-06-27,23,1,3,0,11,6,0,6,0,0,114.5,0.0,0.0,103.55435185185168,23,0,4,6,1,7,4,1,23,0,0,0,0,0,0
2021-06-28,16,0,17,0,7,3,0,6,0,0,566.0,0.0,0.0,135.94970588235293,16,0,2,3,3,7,0,1,16,0,0,0,0,0,0
2021-06-29,24,0,12,0,18,1,0,5,0,0,463.9,40.74,0.0,228.2896527777777,24,0,6,2,5,9,2,0,24,0,0,0,0,0,0
2021-06-30,26,0,9,2,20,0,0,6,0,0,343.5,16.450000000000003,0.0,180.2457828282828,26,0,9,3,7,4,2,1,26,0,0,0,0,0,0
2021-07-01,20,1,2,2,15,0,0,5,0,0,26.6,0.0,0.0,260.98194444444425,20,0,6,1,4,7,2,0,20,0,0,0,0,0,0
2021-07-02,14,1,14,1,9,0,0,5,0,0,645.8,114.79,0.0,50.60307407407374,14,0,5,1,2,5,1,0,14,0,0,0,0,0,0
2021-07-03,20,1,7,0,7,7,0,6,0,0,207.2,37.120000000000005,0.0,93.47781746031728,20,0,5,4,2,5,0,4,20,0,0,0,0,0,0
2021-07-04,25,1,3,0,12,8,0,5,0,0,139.9,38.52,0.0,125.639074074074,25,0,9,4,3,5,0,4,25,0,0,0,0,0,0
2021-07-05,15,1,15,0,7,3,0,5,0,0,544.1,53.02,0.0,177.8879074074071,15,0,5,4,2,4,0,0,15,0,0,0,0,0,0
2021-07-06,22,0,12,0,16,2,0,4,0,0,383.8,38.760000000000005,0.0,164.52576388888858,22,0,4,5,5,6,1,1,21,1,0,0,0,0,1
2021-07-07,23,0,14,1,18,0,0,5,0,0,395.5,72.62,0.0,128.05659259259235,23,0,7,6,6,1,2,1,23,0,0,0,0,0,1
2021-07-08,24,0,6,1,18,0,1,5,0,0,236.1,31.48,0.0,239.0379365079364,24,0,8,5,5,2,3,1,23,1,0,0,0,0,1
2021-07-09,18,1,12,0,12,0,1,5,0,0,560.0,94.38,0.0,91.17990740740709,18,0,5,2,6,2,1,2,18,0,0,0,0,0,1
2021-07-10,20,1,4,0,10,3,1,6,0,0,158.2,40.25,0.0,65.4391666666665,20,0,5,3,6,2,1,3,20,0,0,0,0,0,1
2021-07-11,23,1,3,0,12,3,2,6,0,0,177.2,35.44,0.0,30.965648148147665,23,0,7,4,7,2,0,3,23,0,0,0,0,0,1
