date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,29,2,7,0
2021-06-02,26,2,13,0
2021-06-03,30,2,10,1
2021-06-04,25,0,45,2
2021-06-05,64,2,10,1
2021-06-06,64,3,7,0
2021-06-07,33,0,16,0
2021-06-08,32,0,17,1
2021-06-09,38,1,11,1
2021-06-10,32,1,11,0
2021-06-11,29,1,35,2
2021-06-12,54,3,19,0
2021-06-13,65,3,7,3
2021-06-14,45,6,20,1
2021-06-15,45,6,13,0
2021-06-16,42,5,17,2
2021-06-17,43,3,14,1
2021-06-18,44,4,39,2
2021-06-19,62,4,15,2
2021-06-20,66,5,10,0
2021-06-21,44,2,14,0
2021-06-22,31,0,10,2
2021-06-23,28,1,17,1
2021-06-24,35,2,15,1
2021-06-25,27,1,30,7
2021-06-26,46,7,13,0
2021-06-27,54,5,12,4
2021-06-28,32,7,16,2
2021-06-29,30,6,16,1
2021-06-30,33,6,10,0
2021-07-01,29,5,18,2
2021-07-02,34,7,24,1
2021-07-03,44,7,13,0
2021-07-04,54,7,12,1
2021-07-05,34,4,25,0
2021-07-06,37,3,29,1
2021-07-07,42,4,16,0
2021-07-08,40,3,15,0
2021-07-09,38,2,24,2
2021-07-10,42,3,19,0
2021-07-11,52,3,13,0
2021-07-12,41,1,15,0
2021-07-13,37,0,11,0
2021-07-14,35,0,15,0
2021-07-15,40,0,9,1
2021-07-16,34,1,23,0
2021-07-17,45,0,14,2
2021-07-18,46,2,8,0
2021-07-19,30,2,23,1
2021-07-20,37,3,21,1
2021-07-21,45,3,17,2
2021-07-22,50,4,13,1
2021-07-23,40,4,23,0
2021-07-24,53,3,11,0
2021-07-25,55,3,11,0
2021-07-26,41,2,14,1
2021-07-27,38,1,13,0
2021-07-28,43,1,10,0
2021-07-29,40,1,7,1
2021-07-30,31,0,13,0
2021-07-31,33,0,13,1
2021-08-01,39,1,13,3
2021-08-02,32,3,17,0
2021-08-03,33,3,12,0
2021-08-04,37,2,11,0
2021-08-05,38,2,8,1
2021-08-06,31,2,13,2
2021-08-07,33,4,5,2
2021-08-08,29,3,6,0
2021-08-09,26,2,19,0
2021-08-10,38,2,3,0
2021-08-11,36,2,12,0
2021-08-12,44,2,12,1
2021-08-13,47,3,19,1
2021-08-14,50,3,8,1
2021-08-15,47,3,9,0
2021-08-16,44,3,13,1
2021-08-17,38,4,10,1
2021-08-18,38,5,13,0
2021-08-19,37,4,9,2
2021-08-20,34,6,15,1
2021-08-21,36,5,11,2
2021-08-22,37,5,8,1
2021-08-23,29,4,16,0
2021-08-24,30,2,10,0
2021-08-25,31,1,17,0
2021-08-26,41,1,11,2
2021-08-27,39,3,28,1
2021-08-28,49,4,7,0
2021-08-29,46,4,10,0
2021-08-30,34,4,12,1
2021-08-31,31,2,16,0
2021-09-01,32,1,9,1
2021-09-02,28,2,17,0
2021-09-03,34,2,28,1
2021-09-04,50,3,19,3
2021-09-05,61,5,11,0
2021-09-06,43,4,27,0
2021-09-07,58,2,15,0
2021-09-08,47,2,16,0
2021-09-09,47,2,10,0
2021-09-10,36,2,31,3
2021-09-11,53,4,20,4
2021-09-12,65,7,7,1
2021-09-13,31,5,19,1
2021-09-14,31,2,20,2
2021-09-15,37,2,22,2
2021-09-16,46,4,12,2
2021-09-17,43,4,43,4
2021-09-18,63,6,16,0
2021-09-19,68,5,10,1
2021-09-20,40,2,26,2
2021-09-21,42,1,27,3
2021-09-22,56,3,23,1
2021-09-23,58,4,23,0
2021-09-24,57,2,42,2
2021-09-25,72,2,25,1
2021-09-26,79,3,10,0
2021-09-27,52,2,31,0
2021-09-28,51,0,19,1
2021-09-29,54,1,25,1
2021-09-30,52,2,15,0
2021-10-01,45,0,61,1
2021-10-02,88,1,26,0
2021-10-03,106,1,13,4
2021-10-04,57,4,19,2
2021-10-05,48,5,25,2
2021-10-06,54,6,22,2
2021-10-07,59,7,21,1
2021-10-08,55,6,40,2
2021-10-09,68,6,20,1
2021-10-10,78,4,8,2
2021-10-11,48,2,14,0
2021-10-12,43,2,33,2
2021-10-13,53,2,27,1
2021-10-14,61,1,28,2
2021-10-15,70,3,34,1
2021-10-16,72,2,14,0
2021-10-17,68,2,11,0
2021-10-18,46,1,13,0
2021-10-19,41,0,30,1
2021-10-20,50,1,16,2
2021-10-21,46,2,17,1
2021-10-22,46,3,43,1
2021-10-23,68,2,27,2
2021-10-24,87,4,13,0
2021-10-25,69,1,30,1
2021-10-26,67,1,20,3
2021-10-27,71,3,26,2
2021-10-28,70,3,16,1
2021-10-29,65,3,47,6
2021-10-30,91,8,27,0
2021-10-31,105,7,11,1
2021-11-01,94,7,11,0
2021-11-02,47,3,26,0
2021-11-03,56,2,25,2
2021-11-04,69,3,13,0
2021-11-05,54,1,32,0
2021-11-06,57,1,15,1
2021-11-07,58,1,13,1
2021-11-08,38,1,24,1
2021-11-09,47,1,19,2
