date,nb_entries
2022-05-08,1680
2022-05-09,937
2022-05-10,1005
2022-05-11,1204
2022-05-12,1284
2022-05-13,1290
2022-05-14,1793
2022-05-15,1996
2022-05-16,1204
2022-05-17,1218
2022-05-18,1321
2022-05-19,1343
2022-05-20,1292
2022-05-21,1667
2022-05-22,1921
2022-05-23,1035
2022-05-24,889
2022-05-25,895
2022-05-26,1499
2022-05-27,2067
2022-05-28,2381
2022-05-29,2238
2022-05-30,1076
2022-05-31,896
2022-06-01,1054
2022-06-02,1127
2022-06-03,1109
2022-06-04,1857
2022-06-05,2296
2022-06-06,1965
2022-06-07,960
2022-06-08,1196
2022-06-09,1255
2022-06-10,1254
2022-06-11,1797
2022-06-12,2175
2022-06-13,1283
2022-06-14,1256
2022-06-15,1356
2022-06-16,1385
2022-06-17,1341
2022-06-18,1750
2022-06-19,1894
2022-06-20,1138
2022-06-21,1116
2022-06-22,1225
2022-06-23,1380
2022-06-24,1379
2022-06-25,1860
2022-06-26,1908
2022-06-27,1202
2022-06-28,1116
2022-06-29,1208
2022-06-30,1208
2022-07-01,1171
2022-07-02,1556
2022-07-03,1750
2022-07-04,1144
2022-07-05,1131
2022-07-06,1236
2022-07-07,1186
2022-07-08,1101
2022-07-09,1522
2022-07-10,1707
2022-07-11,1130
2022-07-12,1128
2022-07-13,1115
2022-07-14,1419
2022-07-15,1802
2022-07-16,2016
2022-07-17,2163
2022-07-18,1358
2022-07-19,1050
2022-07-20,1339
2022-07-21,1312
2022-07-22,1198
2022-07-23,1396
2022-07-24,1583
2022-07-25,1223
2022-07-26,1059
2022-07-27,1059
2022-07-28,1045
2022-07-29,1017
2022-07-30,1432
2022-07-31,1529
2022-08-01,1011
2022-08-02,983
2022-08-03,1072
2022-08-04,1075
2022-08-05,1068
2022-08-06,1266
2022-08-07,1357
2022-08-08,1144
2022-08-09,1133
2022-08-10,1187
2022-08-11,1160
2022-08-12,1151
2022-08-13,1469
2022-08-14,1649
2022-08-15,1508
2022-08-16,1135
2022-08-17,1103
2022-08-18,1109
2022-08-19,1144
2022-08-20,1294
2022-08-21,1281
2022-08-22,947
2022-08-23,932
2022-08-24,986
2022-08-25,1019
2022-08-26,1030
2022-08-27,1309
2022-08-28,1342
2022-08-29,918
2022-08-30,851
2022-08-31,865
2022-09-01,765
2022-09-02,777
2022-09-03,1296
2022-09-04,1482
2022-09-05,933
2022-09-06,1015
2022-09-07,1129
2022-09-08,1230
2022-09-09,1214
2022-09-10,1591
2022-09-11,1791
2022-09-12,1116
2022-09-13,1180
2022-09-14,1366
2022-09-15,1363
2022-09-16,1330
2022-09-17,1715
2022-09-18,1896
2022-09-19,1224
2022-09-20,1276
2022-09-21,1410
2022-09-22,1444
2022-09-23,1390
2022-09-24,1867
2022-09-25,2046
2022-09-26,1221
2022-09-27,1306
2022-09-28,1399
2022-09-29,1463
2022-09-30,1464
2022-10-01,1887
2022-10-02,2030
2022-10-03,1214
2022-10-04,1239
2022-10-05,1385
2022-10-06,1454
2022-10-07,1358
2022-10-08,1835
2022-10-09,2035
2022-10-10,1124
2022-10-11,1223
2022-10-12,1408
2022-10-13,1516
2022-10-14,1498
2022-10-15,1850
2022-10-16,2012
2022-10-17,1249
2022-10-18,1312
2022-10-19,1399
2022-10-20,1460
2022-10-21,1346
2022-10-22,1697
2022-10-23,2008
2022-10-24,1507
2022-10-25,1636
2022-10-26,1730
2022-10-27,1700
2022-10-28,1677
2022-10-29,2220
2022-10-30,2656
2022-10-31,2436
2022-11-01,2277
2022-11-02,1728
2022-11-03,1750
2022-11-04,1679
2022-11-05,1849
2022-11-06,1764
2022-11-07,1024
2022-11-08,1205
2022-11-09,1418
2022-11-10,1358
2022-11-11,1931
2022-11-12,2905
2022-11-13,3016
2022-11-14,1478
2022-11-15,1369
2022-11-16,1579
2022-11-17,1737
2022-11-18,1656
2022-11-19,2026
2022-11-20,2168
2022-11-21,1309
2022-11-22,1443
2022-11-23,1664
2022-11-24,1860
2022-11-25,1685
2022-11-26,2209
2022-11-27,2381
2022-11-28,1331
2022-11-29,1304
2022-11-30,1373
2022-12-01,1404
2022-12-02,1577
2022-12-03,1988
2022-12-04,2121
2022-12-05,1207
2022-12-06,1279
2022-12-07,1440
2022-12-08,1498
2022-12-09,1548
2022-12-10,2080
2022-12-11,2189
2022-12-12,1185
2022-12-13,1358
2022-12-14,1504
2022-12-15,1496
2022-12-16,1261
2022-12-17,1491
2022-12-18,1775
2022-12-19,1364
2022-12-20,1390
2022-12-21,1465
2022-12-22,1614
2022-12-23,2051
2022-12-24,2844
2022-12-25,3360
2022-12-26,3137
2022-12-27,2690
2022-12-28,2350
2022-12-29,1997
2022-12-30,1929
2022-12-31,1933
2023-01-01,1920
2023-01-02,1203
2023-01-03,734
2023-01-04,803
2023-01-05,869
2023-01-06,847
2023-01-07,1161
2023-01-08,1280
2023-01-09,821
2023-01-10,1105
2023-01-11,1363
2023-01-12,1429
2023-01-13,1257
2023-01-14,1519
2023-01-15,1647
2023-01-16,956
2023-01-17,1212
2023-01-18,1422
2023-01-19,1313
2023-01-20,1169
2023-01-21,1503
2023-01-22,1608
2023-01-23,689
2023-01-24,776
2023-01-25,938
2023-01-26,917
2023-01-27,1074
2023-01-28,1755
2023-01-29,1938
2023-01-30,1081
2023-01-31,1174
2023-02-01,1216
2023-02-02,1374
2023-02-03,1227
2023-02-04,1563
2023-02-05,1666
2023-02-06,944
2023-02-07,1028
2023-02-08,1100
2023-02-09,1249
2023-02-10,1108
2023-02-11,1537
2023-02-12,1834
2023-02-13,1421
2023-02-14,1551
2023-02-15,1589
2023-02-16,1510
2023-02-17,1400
2023-02-18,1749
2023-02-19,1921
2023-02-20,1367
2023-02-21,1396
2023-02-22,1542
2023-02-23,1430
2023-02-24,1325
2023-02-25,1662
2023-02-26,1736
2023-02-27,1187
2023-02-28,1146
2023-03-01,1248
2023-03-02,1304
2023-03-03,1183
2023-03-04,1528
2023-03-05,1608
2023-03-06,922
2023-03-07,989
2023-03-08,1012
2023-03-09,1143
2023-03-10,1112
2023-03-11,1448
2023-03-12,1516
2023-03-13,942
2023-03-14,1141
2023-03-15,1344
2023-03-16,1413
2023-03-17,1361
2023-03-18,1739
2023-03-19,1901
2023-03-20,1152
2023-03-21,1229
2023-03-22,1402
2023-03-23,1380
2023-03-24,1227
2023-03-25,1766
2023-03-26,1887
2023-03-27,1110
2023-03-28,1167
2023-03-29,1219
2023-03-30,1295
2023-03-31,1251
2023-04-01,1698
2023-04-02,1872
2023-04-03,1098
2023-04-04,1224
2023-04-05,1319
2023-04-06,1197
2023-04-07,1116
2023-04-08,1748
2023-04-09,2090
2023-04-10,1931
2023-04-11,1040
2023-04-12,1218
2023-04-13,1367
2023-04-14,1259
2023-04-15,1645
2023-04-16,1861
2023-04-17,1401
2023-04-18,1535
2023-04-19,1759
2023-04-20,1741
2023-04-21,1552
2023-04-22,1863
2023-04-23,1982
2023-04-24,1488
2023-04-25,1618
2023-04-26,1731
2023-04-27,1624
2023-04-28,1536
2023-04-29,1840
2023-04-30,2040
2023-05-01,1614
2023-05-02,874
2023-05-03,1020
2023-05-04,1162
2023-05-05,1107
2023-05-06,1626
2023-05-07,2012
2023-05-08,1664
2023-05-09,906
2023-05-10,1296
2023-05-11,1519
2023-05-12,1407
2023-05-13,1769
2023-05-14,1943
2023-05-15,1183
2023-05-16,1261
2023-05-17,1055
2023-05-18,1542
2023-05-19,2138
2023-05-20,2383
2023-05-21,2168
2023-05-22,1082
2023-05-23,1204
2023-05-24,1575
2023-05-25,1574
2023-05-26,1336
2023-05-27,1862
2023-05-28,2291
2023-05-29,1946
2023-05-30,1017
2023-05-31,1204
2023-06-01,1416
2023-06-02,1380
2023-06-03,1840
2023-06-04,1971
2023-06-05,1182
2023-06-06,1361
2023-06-07,1512
2023-06-08,1612
2023-06-09,1506
2023-06-10,1961
2023-06-11,2288
2023-06-12,1357
2023-06-13,1419
2023-06-14,1586
2023-06-15,1645
2023-06-16,1549
2023-06-17,1970
2023-06-18,2240
2023-06-19,1383
2023-06-20,1559
