date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package,turnover,discount,booking_fees,lead_time_hours,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30,strike,holidays,vacation
2021-06-01,87,9,36,4,23,0,56,8,0,0,945.3,0.0,0.0,98.83126388888856,87,0,21,18,25,12,11,0,85,2,0,0,0,0,0
2021-06-02,100,11,40,1,36,0,56,8,0,0,1201.1,0.0,0.0,154.80638211382086,100,0,24,17,25,20,13,1,100,0,0,0,0,0,0
2021-06-03,120,9,33,2,47,0,65,8,0,0,1083.8,0.0,0.0,89.22298412698377,120,0,31,21,31,22,13,2,120,0,0,0,0,0,0
2021-06-04,114,9,75,6,40,0,66,8,0,0,2387.3,9.84,0.0,215.72198902606283,114,0,31,24,30,16,9,4,114,0,0,0,0,0,0
2021-06-05,157,13,37,3,79,5,64,9,0,0,1086.4,21.0,0.0,207.8763680555553,157,0,32,45,39,20,10,11,157,0,0,0,0,0,0
2021-06-06,175,15,22,1,93,5,68,9,0,0,686.8,0.0,0.0,74.12891304347795,175,0,39,47,45,18,14,12,175,0,0,0,0,0,0
2021-06-07,105,13,32,2,44,5,48,8,0,0,1089.6,0.0,0.0,174.3720424836599,105,0,23,20,29,15,11,7,103,2,0,0,0,0,0
2021-06-08,89,8,36,8,33,0,49,7,0,0,1279.7,0.0,0.0,338.3102272727272,89,0,24,14,26,17,4,4,88,1,0,0,0,0,0
2021-06-09,108,16,46,4,39,0,62,7,0,0,1348.2,0.0,0.0,305.7785499999998,108,0,29,16,37,19,6,1,108,0,0,0,0,0,0
2021-06-10,124,19,51,6,48,0,69,7,0,0,1863.9,0.0,0.0,160.63910818713424,124,0,33,21,37,22,8,3,124,0,0,0,0,0,0
2021-06-11,141,20,108,9,53,0,79,9,0,0,3211.9,34.94,0.0,175.04891263057888,141,0,30,28,41,28,8,6,141,0,0,0,0,0,0
2021-06-12,218,23,57,11,122,6,80,10,0,0,1597.1,18.72,0.0,149.72970996732,218,0,47,55,55,38,8,15,218,0,0,0,0,0,0
2021-06-13,240,30,20,0,142,6,82,10,0,0,694.5,0.0,0.0,87.9666527777774,240,0,62,50,66,35,12,15,240,0,0,0,0,0,0
2021-06-14,145,15,33,4,54,6,74,11,0,0,991.1,0.0,0.0,179.86828828828786,145,0,45,17,45,21,10,7,144,1,0,0,0,0,0
2021-06-15,117,14,40,6,37,0,69,11,0,0,1107.9,0.0,0.0,199.12135869565185,117,0,39,15,38,17,5,3,117,0,0,0,0,0,0
2021-06-16,120,14,47,4,44,0,67,9,0,0,1477.5,0.0,0.0,154.98375816993433,120,0,39,21,33,16,10,1,119,1,0,0,0,0,0
2021-06-17,125,11,71,3,50,0,66,9,0,0,2357.2,0.0,0.0,162.55787912912888,125,0,37,33,29,20,6,0,125,0,0,0,0,0,0
2021-06-18,162,11,114,7,77,0,77,8,0,0,3385.3,41.34,0.0,203.28836317722656,162,0,29,49,38,28,14,4,160,2,0,0,0,0,0
