date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-12-28,18,2,4,0
2021-12-29,15,1,2,0
2021-12-30,12,1,5,0
2021-12-31,12,0,6,0
2022-01-01,16,0,2,1
2022-01-02,9,1,1,0
2022-01-03,3,1,9,1
2022-01-04,6,1,6,2
2022-01-05,9,3,8,0
2022-01-06,9,3,2,0
2022-01-07,6,1,13,2
2022-01-08,11,1,0,0
2022-01-09,10,1,0,0
2022-01-10,3,1,4,0
2022-01-11,3,0,8,0
2022-01-12,6,0,8,1
2022-01-13,8,1,18,1
2022-01-14,13,1,13,4
2022-01-15,17,3,2,0
2022-01-16,16,2,1,1
2022-01-17,6,1,6,0
2022-01-18,7,0,10,2
2022-01-19,8,2,9,1
2022-01-20,10,3,7,2
2022-01-21,11,2,17,5
2022-01-22,22,5,4,1
2022-01-23,25,5,0,0
2022-01-24,11,0,10,0
2022-01-25,9,0,7,0
2022-01-26,12,0,10,2
2022-01-27,9,2,19,1
2022-01-28,13,0,22,3
2022-01-29,28,3,1,0
2022-01-30,27,3,3,0
2022-01-31,10,1,5,0
2022-02-01,2,0,4,1
2022-02-02,6,0,9,3
2022-02-03,6,2,11,0
2022-02-04,7,2,27,0
2022-02-05,28,1,9,0
2022-02-06,33,0,3,0
2022-02-07,15,0,6,0
2022-02-08,11,0,7,1
2022-02-09,10,1,11,2
2022-02-10,13,0,11,2
2022-02-11,11,0,17,0
2022-02-12,23,0,8,0
2022-02-13,27,0,3,1
2022-02-14,12,1,9,1
2022-02-15,11,1,4,1
2022-02-16,8,1,13,0
2022-02-17,12,0,15,0
2022-02-18,14,0,7,3
2022-02-19,15,2,4,0
2022-02-20,15,2,3,0
2022-02-21,5,1,9,1
2022-02-22,9,1,4,0
2022-02-23,9,1,12,1
2022-02-24,15,1,13,0
2022-02-25,14,0,28,1
2022-02-26,28,1,6,0
2022-02-27,28,1,3,0
2022-02-28,17,1,11,0
2022-03-01,12,0,10,0
2022-03-02,11,0,14,0
2022-03-03,16,0,13,2
2022-03-04,11,1,31,1
2022-03-05,35,1,7,2
2022-03-06,41,2,3,0
2022-03-07,21,1,11,0
2022-03-08,15,0,11,2
2022-03-09,19,1,12,1
2022-03-10,22,2,18,2
2022-03-11,20,2,38,0
2022-03-12,46,1,7,0
2022-03-13,46,1,9,0
2022-03-14,32,0,14,1
2022-03-15,23,1,14,2
2022-03-16,25,0,18,5
2022-03-17,26,3,30,0
2022-03-18,30,1,33,2
2022-03-19,49,2,13,3
2022-03-20,58,4,1,0
2022-03-21,25,2,10,1
2022-03-22,8,1,13,2
2022-03-23,13,2,18,1
2022-03-24,19,1,23,2
2022-03-25,17,1,39,0
2022-03-26,44,0,5,0
2022-03-27,44,0,3,0
2022-03-28,21,0,12,4
2022-03-29,10,3,14,2
2022-03-30,13,2,10,4
2022-03-31,12,4,30,2
2022-04-01,24,4,28,2
2022-04-02,32,2,6,0
2022-04-03,36,1,2,1
2022-04-04,17,1,16,1
2022-04-05,13,2,14,4
2022-04-06,18,4,18,1
2022-04-07,24,4,18,2
2022-04-08,16,4,36,4
2022-04-09,40,6,8,1
2022-04-10,42,6,4,2
2022-04-11,24,4,10,0
2022-04-12,18,0,5,3
2022-04-13,18,3,11,2
2022-04-14,22,5,15,1
2022-04-15,21,3,26,0
2022-04-16,35,1,5,2
2022-04-17,35,3,1,0
2022-04-18,28,3,3,1
2022-04-19,9,2,7,1
2022-04-20,9,3,18,0
2022-04-21,16,1,18,1
2022-04-22,16,2,18,1
2022-04-23,22,1,0,1
2022-04-24,21,1,1,1
2022-04-25,7,1,12,0
2022-04-26,12,1,18,2
2022-04-27,14,1,13,0
2022-04-28,22,1,16,1
2022-04-29,16,1,21,2
2022-04-30,35,3,6,1
2022-05-01,34,4,4,0
2022-05-02,23,2,6,0
2022-05-03,14,0,10,0
2022-05-04,17,0,20,1
2022-05-05,24,1,13,1
2022-05-06,23,2,31,2
2022-05-07,40,4,4,0
2022-05-08,38,4,3,1
2022-05-09,23,4,21,0
2022-05-10,25,2,19,0
2022-05-11,30,2,17,2
2022-05-12,26,3,24,3
2022-05-13,26,2,34,1
2022-05-14,37,0,6,0
2022-05-15,40,0,2,1
2022-05-16,15,0,18,1
2022-05-17,18,0,19,1
2022-05-18,20,1,13,1
2022-05-19,19,2,24,4
2022-05-20,23,2,33,1
2022-05-21,35,3,13,1
2022-05-22,42,3,2,0
2022-05-23,14,1,10,0
2022-05-24,12,1,13,1
2022-05-25,14,2,13,0
2022-05-26,19,1,5,1
2022-05-27,20,1,9,2
2022-05-28,28,2,7,0
2022-05-29,30,2,4,0
2022-05-30,16,2,16,2
2022-05-31,24,3,29,5
2022-06-01,31,7,21,4
2022-06-02,32,5,24,2
2022-06-03,27,4,26,2
2022-06-04,31,5,15,0
2022-06-05,42,5,2,0
2022-06-06,36,4,6,1
2022-06-07,16,3,23,0
2022-06-08,23,3,23,3
