,date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
186,2021-12-04,6,0,3,0
187,2021-12-05,9,0,2,0
188,2021-12-06,4,0,1,0
189,2021-12-07,2,0,4,0
190,2021-12-08,5,0,0,0
191,2021-12-09,4,0,1,0
192,2021-12-10,2,0,8,0
193,2021-12-11,9,0,2,0
194,2021-12-12,11,0,1,0
195,2021-12-13,6,0,0,0
196,2021-12-14,2,0,0,2
197,2021-12-15,1,2,0,0
198,2021-12-16,1,1,2,0
199,2021-12-17,1,1,4,0
200,2021-12-18,5,1,4,0
201,2021-12-19,9,1,0,0
202,2021-12-20,4,1,3,0
203,2021-12-21,5,1,1,1
204,2021-12-22,4,1,1,0
205,2021-12-23,4,1,2,0
206,2021-12-24,5,1,3,1
207,2021-12-25,7,2,2,0
208,2021-12-26,6,2,0,0
209,2021-12-27,5,2,3,0
210,2021-12-28,5,1,1,0
211,2021-12-29,6,1,0,0
212,2021-12-30,6,1,1,0
213,2021-12-31,6,0,1,0
214,2022-01-01,6,0,0,1
215,2022-01-02,4,1,1,0
216,2022-01-03,1,1,1,0
217,2022-01-04,2,1,0,0
218,2022-01-05,0,1,0,1
219,2022-01-06,0,1,1,0
220,2022-01-07,0,1,2,1
221,2022-01-08,2,1,1,0
222,2022-01-09,3,1,1,0
223,2022-01-10,3,0,1,1
224,2022-01-11,3,1,0,1
225,2022-01-12,1,2,1,0
226,2022-01-13,1,1,0,0
227,2022-01-14,1,1,4,0
228,2022-01-15,4,0,0,0
229,2022-01-16,4,0,0,0
230,2022-01-17,2,0,2,1
231,2022-01-18,2,1,1,0
232,2022-01-19,1,1,0,0
233,2022-01-20,0,0,1,0
234,2022-01-21,0,0,6,1
235,2022-01-22,6,1,1,0
236,2022-01-23,7,1,0,0
237,2022-01-24,1,0,2,0
238,2022-01-25,2,0,3,0
239,2022-01-26,3,0,1,0
240,2022-01-27,1,0,0,0
241,2022-01-28,0,0,9,0
242,2022-01-29,9,0,3,0
243,2022-01-30,12,0,0,0
244,2022-01-31,3,0,0,0
245,2022-02-01,0,0,0,0
246,2022-02-02,0,0,0,0
247,2022-02-03,0,0,0,0
248,2022-02-04,0,0,4,0
249,2022-02-05,4,0,4,0
250,2022-02-06,8,0,1,0
251,2022-02-07,3,0,0,0
252,2022-02-08,1,0,0,0
253,2022-02-09,0,0,2,0
254,2022-02-10,2,0,2,0
255,2022-02-11,3,0,8,0
256,2022-02-12,11,0,6,0
257,2022-02-13,17,0,2,1
258,2022-02-14,7,0,0,0
259,2022-02-15,3,0,0,0
260,2022-02-16,3,0,1,0
261,2022-02-17,3,0,1,0
262,2022-02-18,4,0,12,1
263,2022-02-19,14,1,7,1
264,2022-02-20,17,2,0,0
265,2022-02-21,5,2,2,1
266,2022-02-22,4,2,0,0
267,2022-02-23,4,1,1,0
268,2022-02-24,3,1,3,0
269,2022-02-25,4,1,7,1
270,2022-02-26,10,1,2,0
271,2022-02-27,11,1,1,0
272,2022-02-28,6,0,4,0
273,2022-03-01,5,0,1,0
274,2022-03-02,4,0,1,0
275,2022-03-03,1,0,3,0
276,2022-03-04,4,0,11,1
277,2022-03-05,14,1,2,0
278,2022-03-06,14,1,1,0
279,2022-03-07,3,0,3,0
280,2022-03-08,2,0,0,0
281,2022-03-09,1,0,0,0
282,2022-03-10,1,0,1,0
283,2022-03-11,2,0,8,1
284,2022-03-12,7,1,4,0
285,2022-03-13,11,1,1,0
286,2022-03-14,7,0,0,0
287,2022-03-15,1,0,6,1
288,2022-03-16,5,1,3,0
289,2022-03-17,5,1,2,0
290,2022-03-18,3,1,12,0
291,2022-03-19,13,1,5,0
292,2022-03-20,18,1,1,0
293,2022-03-21,2,0,0,0
294,2022-03-22,0,0,2,0
295,2022-03-23,2,0,1,0
296,2022-03-24,2,0,6,0
297,2022-03-25,7,0,13,0
298,2022-03-26,18,0,3,0
299,2022-03-27,20,0,2,2
300,2022-03-28,13,2,1,0
301,2022-03-29,4,2,4,0
302,2022-03-30,7,2,0,0
303,2022-03-31,4,2,0,0
304,2022-04-01,4,2,5,0
305,2022-04-02,8,1,6,0
306,2022-04-03,11,1,0,1
307,2022-04-04,3,2,0,0
308,2022-04-05,1,1,0,0
309,2022-04-06,0,1,2,0
310,2022-04-07,2,1,3,0
311,2022-04-08,2,0,6,2
312,2022-04-09,8,2,1,0
313,2022-04-10,8,2,0,0
314,2022-04-11,2,0,2,0
315,2022-04-12,1,0,2,0
316,2022-04-13,3,0,2,0
317,2022-04-14,2,0,0,0
318,2022-04-15,2,0,7,1
319,2022-04-16,8,0,5,2
320,2022-04-17,13,2,2,0
321,2022-04-18,11,2,2,0
322,2022-04-19,5,0,4,0
323,2022-04-20,7,0,0,0
324,2022-04-21,6,0,1,0
325,2022-04-22,7,0,8,1
326,2022-04-23,10,1,2,0
327,2022-04-24,11,1,3,1
328,2022-04-25,9,1,2,0
329,2022-04-26,5,1,3,0
330,2022-04-27,6,1,3,0
331,2022-04-28,7,1,1,0
332,2022-04-29,8,1,8,1
333,2022-04-30,13,1,5,0
334,2022-05-01,15,1,2,0
335,2022-05-02,5,0,1,0
336,2022-05-03,6,0,2,0
337,2022-05-04,3,0,2,0
338,2022-05-05,1,0,1,0
339,2022-05-06,1,0,5,0
340,2022-05-07,6,0,5,0
341,2022-05-08,10,0,3,0
342,2022-05-09,5,0,2,0
343,2022-05-10,5,0,1,0
344,2022-05-11,4,0,5,0
345,2022-05-12,6,0,2,0
346,2022-05-13,6,0,9,0
347,2022-05-14,10,0,5,0
348,2022-05-15,15,0,1,0
349,2022-05-16,4,0,2,0
350,2022-05-17,2,0,2,0
351,2022-05-18,1,0,2,0
352,2022-05-19,3,0,4,0
353,2022-05-20,4,0,13,0
354,2022-05-21,15,0,10,0
355,2022-05-22,23,0,0,0
356,2022-05-23,6,0,0,0
357,2022-05-24,2,0,1,0
358,2022-05-25,3,0,6,0
359,2022-05-26,9,0,6,0
360,2022-05-27,13,0,2,0
361,2022-05-28,14,0,3,0
362,2022-05-29,17,0,0,0
363,2022-05-30,6,0,5,0
364,2022-05-31,4,0,1,0
365,2022-06-01,4,0,2,0
366,2022-06-02,6,0,1,0
367,2022-06-03,3,0,16,0
368,2022-06-04,18,0,5,0
369,2022-06-05,23,0,1,0
370,2022-06-06,19,0,0,0
371,2022-06-07,3,0,5,1
372,2022-06-08,6,1,1,1
373,2022-06-09,4,1,1,0
374,2022-06-10,4,1,13,0
375,2022-06-11,15,1,5,0
376,2022-06-12,20,0,3,0
377,2022-06-13,9,0,4,2
378,2022-06-14,7,2,2,0
379,2022-06-15,7,1,2,0
380,2022-06-16,8,1,4,0
381,2022-06-17,9,0,7,0
382,2022-06-18,13,0,1,0
383,2022-06-19,13,0,1,0
384,2022-06-20,7,0,2,0
385,2022-06-21,4,0,3,0
386,2022-06-22,6,0,1,0
387,2022-06-23,5,0,3,0
388,2022-06-24,6,0,11,0
389,2022-06-25,13,0,3,1
390,2022-06-26,13,1,1,0
391,2022-06-27,8,0,2,0
392,2022-06-28,3,0,3,0
393,2022-06-29,4,0,2,0
394,2022-06-30,6,0,4,1
395,2022-07-01,9,1,13,0
396,2022-07-02,21,1,3,0
397,2022-07-03,19,1,4,0
398,2022-07-04,10,1,3,0
399,2022-07-05,7,0,3,0
400,2022-07-06,7,0,2,2
401,2022-07-07,6,2,1,0
402,2022-07-08,6,2,8,0
403,2022-07-09,13,1,3,0
404,2022-07-10,13,1,3,0
405,2022-07-11,7,1,2,0
406,2022-07-12,5,1,2,0
407,2022-07-13,7,1,1,0
408,2022-07-14,7,0,7,0
409,2022-07-15,11,0,8,0
410,2022-07-16,18,0,6,0
411,2022-07-17,21,0,4,0
